Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;3283796992;581116141;463.6336;21.94209;12;407.4029;False
2;4563676160;1410711745.6;547;21.99059;12;407.4029;True
3;4576168960;1244698937.6;547;20.8657;12;406.9036;True
4;4232693760;1997616866;527.6863;23.09103;12;407.9529;False
5;4573371904;1956946444.8;547;21.46648;12;407.6658;True
6;4576468992;1533878028.8;547;21.97723;12;408.9288;True
7;3412800768;1181387792.4;494.2903;27.50616;11;380.0436;False
8;4117063168;1678768836;547;27.35175;10;378.7398;True
9;4671567360;1480920490.4;547;22.89648;13;411.8489;True
10;4666368512;2279017482.4;547;23.2999;13;411.8489;True
11;4181185792;1765975548.8;526.7763;27.1564;12;408.3665;False
12;4271700224;1721567240.8;547;23.7482;11;384.0081;True
13;4242640384;1483569048;527.3681;22.34799;12;408.7372;False
14;4421408768;1836161848.4;547;23.61966;11;402.5579;True
15;4087607552;1508099445.6;525.5275;28.76636;12;400.4484;False
16;3998706944;1640669008.8;527.0518;30.98932;12;387.6151;False
17;4568293376;1745254423.2;547;20.71234;12;405.6595;True
18;3718860544;1754920419.6;496.8435;24.41791;12;405.0956;False
19;4053522432;1771739489.6;529.7004;22.69916;12;380.0456;False
20;4590466048;1597752568.8;547;22.65601;13;401.7382;True
21;3578393088;1545358951.2;498.2381;23.73761;12;381.5862;False
22;4501031936;2052994710.4;547;21.34424;12;398.6485;True
23;3631077888;1563483716.8;494.0292;26.87018;12;401.3795;False
24;4107716864;1771503202.4;528.312;29.00494;12;397.5785;False
25;2561594112;1605370412;409.3835;22.64081;12;402.3752;False
26;4534093312;2082712654.8;547;20.34241;12;400.7881;True
27;4204847104;2372478188.8;529.3569;25.45709;12;404.144;False
28;4574641152;2206166188;547;23.86914;13;401.6669;True
29;3796936448;1752377370.8;496.8079;22.79028;13;403.7568;False
30;3283825152;1752409685.6;469.9407;27.29956;12;400.6664;False
