Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;52980080;6848438.78594307;375.5815;19.30527;13;391.3867;False
2;65329584;10382109.588299;402.751;19.27532;11;329.345;False
3;85416920;30598089.8073033;440.4007;25.72195;11;330.2346;False
4;82236936;30389772.549427;434.8662;28.51271;11;328.5378;False
5;52712696;24494209.826827;374.9486;18.81969;11;340.9011;False
6;98374184;29218719.9601196;461.6297;23.1109;11;341.839;False
7;106877952;38645185.7363037;474.5654;26.67468;11;328.6381;False
8;98617912;31022343.2463884;462.0106;27.50888;11;340.0792;False
9;122003664;49614392.2000003;495.9725;25.87564;11;340.9011;False
10;147277296;51225199.7172607;528.0948;26.05344;11;341.4136;False
11;97546656;40364807.0416626;460.3316;26.99911;11;328.6381;False
12;163667328;55650008.49375;547;26.95322;11;326.842;True
13;163667328;55945962.3;547;25.36169;11;341.4136;True
14;163667328;63249557.7560425;547;21.16321;11;326.6099;True
15;122035672;47028233.3625;496.0159;22.54688;11;327.4945;False
16;143876560;51105722.5741131;523.9985;24.87213;11;327.5074;False
17;163667328;52856291.5515411;547;20.85498;11;330.3841;True
18;163667328;56112563.79375;547;22.40997;11;327.5074;True
19;163667328;57152928.0846619;547;22.68921;11;330.3841;True
20;163667328;49197576.6270722;547;26.61499;11;330.3841;True
21;163667328;61803107.35;547;25.04297;11;326.8739;True
22;163667328;68815229.25;547;22.00378;11;327.3393;True
23;163667328;74549089.15;547;26.07953;11;327.3393;True
24;163667328;71342059.675;547;21.85779;11;327.3393;True
25;163667328;70578100.2;547;21.46606;12;329.6985;True
26;163667328;75337143;547;21.89941;11;327.5377;True
27;163667328;84817640.4;547;24.97144;11;327.3393;True
28;163667328;66073915.1579834;547;21.11401;11;328.4792;True
29;163667328;62989469.2296631;547;23.59753;11;329.4559;True
30;163667328;66909745.9262726;547;24.25854;11;329.4559;True
31;163667328;79507437.5;547;22.49622;11;329.4559;True
32;206871424;97536073.5;591.4257;24.20239;11;328.4593;False
33;163667328;67523323.382959;547;21.21985;11;328.8511;True
34;163667328;55136045.5;547;22.09363;11;329.4559;True
35;163667328;68743152.7190796;547;23.75586;11;328.4885;True
36;163667328;74876195.8585632;547;20.15601;11;327.4971;True
37;163667328;96745280.5719405;547;21.42615;11;328.0877;True
38;163667328;82235832.1;547;20.63562;11;327.4971;True
39;199343680;77816283.35;584.1631;25.75659;11;328.0877;False
