Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;163667328;10738168.844308;547;21.31377;14;398.7791;True
2;145637024;45471208.4375;526.127;27.42695;14;398.7791;False
3;99236656;36109014.0503147;462.9748;22.85142;14;398.8801;False
4;163667328;53764333.5065388;547;19.72701;14;398.8801;True
5;163667328;69331761.9865878;547;20.39059;14;398.4747;True
6;163667328;65712038.1415588;547;20.82745;14;399.1547;True
7;163667328;57547824.4113953;547;21.93484;14;399.7228;True
8;147129760;56091624.9559082;527.9185;23.17142;14;397.2813;False
9;163667328;64238857.5;547;21.68591;14;397.4357;True
10;163667328;70705260.0113527;547;21.32324;14;399.3836;True
11;163667328;71089751.4;547;21.41357;12;395.1409;True
12;163667328;71376504.1;547;24.65796;12;395.1409;True
13;163667328;50982246.9457031;547;20.14496;14;401.2523;True
14;163667328;69988456.2540741;547;20.82709;14;401.0306;True
15;148300080;46062443.3178242;529.3145;27.71014;13;395.3592;False
16;163667328;48616656.9328116;547;20.1402;12;395.1409;True
17;124031096;59128503.584375;498.7048;22.28107;14;398.7062;False
18;163667328;73750629.5806641;547;20.22388;12;395.1409;True
19;163667328;66236035.9716797;547;21.03339;12;394.8965;True
20;163667328;44084551.6937439;547;21.73962;12;394.8965;True
21;163667328;64733728.0534088;547;23.71198;12;394.4301;True
22;163667328;82646110.6882813;547;23.15442;13;392.7778;True
23;163667328;64382234.1;547;21.54211;12;395.0136;True
24;163667328;69934001.325;547;20.01672;12;394.8284;True
25;255187952;73452211.85;634.2883;23.52295;12;392.9728;False
26;163667328;69995962.4625;547;20.11902;11;391.2108;True
27;163667328;87146262.4998291;547;22.43958;11;392.1261;True
28;163667328;61881733.9375;547;25.85095;11;396.1485;True
29;163667328;77846524.0248535;547;21.96912;12;395.7884;True
30;163667328;74527530.0849365;547;22.59607;11;391.8225;True
31;163667328;70690499.2998156;547;21.35962;12;395.9758;True
32;163667328;69290104.5125;547;20.93469;12;396.4723;True
33;163667328;59329147.1488176;547;20.4585;12;395.5191;True
34;163667328;91691366.54375;547;20.64905;12;396.9671;True
35;191561280;83528944.7645726;576.4601;25.3457;11;393.7293;False
36;163667328;55918263.1573486;547;20.24268;11;393.2338;True
37;145388864;52696116.225;525.828;27.12;11;393.7293;False
38;163667328;77001661.1859375;547;23.39661;11;393.7293;True
39;163667328;82786713.66875;547;22.79077;12;393.6816;True
40;163667328;68695975.3881104;547;19.56165;11;393.7293;True
41;163667328;59215101.2552239;547;22.3114;11;393.7293;True
42;163667328;83089270.875;547;24.45874;11;390.3961;True
43;163667328;58139978.9890625;547;21.39758;11;391.0394;True
44;163667328;75870641.634375;547;22.44507;10;393.5373;True
45;163667328;76414628;547;20.73865;11;391.0394;True
46;163667328;72757622.1366455;547;19.84595;11;395.2844;True
47;163667328;85933497.2;547;24.32764;11;389.7685;True
48;163667328;55227514.45;547;19.91089;11;394.2776;True
49;163667328;89010914.3492676;547;20.56055;11;394.2776;True
50;163667328;60506660.9533375;547;20.57813;10;391.6882;True
51;163667328;50973927.38125;547;22.99023;10;392.1014;True
52;163667328;79805865.356681;547;24.01587;11;392.9386;True
53;151140272;56651193.5727295;532.6722;24.89282;11;392.8032;False
54;163667328;60162574.9958008;547;20.21729;11;394.4517;True
55;163667328;62563873.6002197;547;20.19165;11;394.3474;True
56;163667328;71308907.1796875;547;21.59766;10;392.6923;True
57;163667328;51623089.499707;547;20.72314;10;392.6923;True
58;163667328;59695828.1214844;547;23.48413;10;389.3662;True
59;163667328;53890143.6509689;547;19.86499;10;389.575;True
60;163667328;43335671.775;547;22.96777;10;387.2135;True
61;163667328;64211954.2085937;547;20.10938;11;394.1904;True
62;230139072;63520332.6696453;612.816;24.19971;10;388.1931;False
63;163667328;76342356.9;547;21.91528;10;392.6925;True
64;163667328;61687942.3227783;547;20.54761;11;395.7214;True
65;163667328;71816301.4564514;547;20.97095;10;385.7584;True
66;236625776;58230097.8530518;618.5204;24.4082;10;393.4642;False
67;163667328;64380985.2027283;547;23.64185;11;396.037;True
