Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;-9428197;-30169567.65;62.17637;11;14;344.0876;False
2;-8342785.5;-33927327.825;27.15865;6.414108;13;263.4853;False
3;-1811943.5;-36794356.9375;105.5295;14.24001;14;344.0876;False
4;-8098084.5;-46217394.275;50.13931;8.219383;14;310.2429;False
5;-5797391.5;-40869064.275;62.5991;17.38408;14;310.2429;False
6;-5613813.5;-37788465.375;52.0338;11.39468;13;288.644;False
7;-5449366.5;-42508247.025;53.16558;12.58098;13;288.644;False
8;-5257589;-46335201.625;53.55088;10.49025;13;288.644;False
9;-1854053.25;-46464118.4125;66.6358;13.5733;13;263.4853;False
10;-8588573;-47631186.85;27.19917;9.492981;13;263.4853;False
11;-7046658.5;-49896131.025;45.51956;11.59689;13;288.644;False
12;-8316221.5;-57196772.775;27.21491;6.32486;13;263.4853;False
13;-2992913.75;-55728364.8625;79.61371;17.29697;14;310.2429;False
14;-7612356;-55778469.5;52.05238;14.31155;13;306.2764;False
15;-643789.375;-51655353.41875;97.54533;20.30435;13;288.644;False
16;-5871275;-57848217.65;50.302;9.646484;13;288.829;False
17;-5535900;-53680758.6;51.86063;9.697021;13;288.644;False
18;-8533154;-47963445.3;26.96102;7.754089;13;263.4853;False
19;-7052565;-48964335.75;45.58427;11.6095;13;288.829;False
20;-5770273.5;-54715637.375;51.79941;13.24237;13;288.829;False
21;-7669293;-55069128.625;42.69904;10.28784;13;288.829;False
22;-8202505;-51666412.5;40.87543;11.3446;13;288.829;False
23;-2990653.25;-57153521.6375;67.06557;9.470032;13;288.829;False
24;-1915803;-51306131.35;66.39453;15.32758;13;263.4853;False
25;-10186065;-51583794;33.34367;9.313599;13;288.829;False
26;-10063234;-55220178.65;33.40627;8.188049;13;288.829;False
27;-12420407;-55297797.4;26.22478;8.206177;13;288.829;False
28;-6300195.5;-62250357.725;36.9388;11.2749;13;263.4853;False
29;-2585943.5;-48043284.575;60.92649;10.20764;13;268.0647;False
30;-3813642.5;-46823584.125;51.008;14.61914;13;263.4853;False
31;-2436683.25;-50273974.7625;77.09859;20.45996;13;294.4149;False
32;-1288198.5;-45801366.4125;97.19493;15.42737;11;312.6481;False
33;-8308.5927734375;-46697557.0608887;142.1354;26.24536;11;312.6481;False
34;-3883983.75;-54263127.2125;65.18285;14.25525;13;294.4149;False
35;-999891.5625;-42482763.534375;80.12195;15.35999;13;268.0647;False
36;-4424327.5;-46661322.075;49.33934;14.17712;13;268.0647;False
37;-2842475.5;-40741146.575;57.64896;13.23792;13;263.4853;False
38;-8625619;-53409157.55;52.83492;14.32825;13;316.2842;False
39;-3753682.25;-48963261.3875;51.36488;14.42004;13;263.4853;False
40;-6506737.5;-51807088.125;35.81076;5.507568;13;268.0647;False
41;-940926.0625;-54444961.603125;81.50277;17.2959;13;268.0647;False
42;-5702422.5;-51669102.325;38.90121;8.305176;13;263.4853;False
43;-7524666;-57132737.7;57.66479;17.31006;13;316.2842;False
44;-2048241.375;-53875154.06875;65.43294;17.45703;13;263.4853;False
45;-6694696;-54921190.5;34.90091;5.346191;13;268.0647;False
46;-2082804.25;-56959074.3625;66.16813;12.37402;13;268.0647;False
47;-1487768.75;-53328340.9375;70.97139;14.41907;13;263.4853;False
48;-6614799.5;-55248615.475;35.27444;5.400269;13;268.0647;False
49;-839035.5;-55548901.125;81.05827;17.24402;13;263.4853;False
50;-1174626.25;-62069300.5375;76.61587;12.32898;13;268.0647;False
51;-5185917.5;-56590787.875;42.37055;11.24304;13;263.4853;False
52;-2188054.5;-55657857.575;64.43568;10.31519;13;268.0647;False
53;-3417992.75;-55920313.7875;52.27105;9.436401;13;263.4853;False
54;-2079659.875;-52558761.16875;65.04301;9.439697;13;268.0647;False
55;-8033853.5;-53675452.45;31.35171;9.258179;13;268.0647;False
56;-5517536;-48457445.5;41.93194;8.390869;13;268.0647;False
57;-4977545.5;-41983064.15;42.55286;8.356445;13;263.4853;False
58;-5080528.5;-55403337.05;42.72393;10.46008;13;263.4853;False
59;-5255883;-51145336.1;42.21745;12.21533;13;263.4853;False
60;-6776274.5;-54539021.8;35.26245;6.367554;13;268.0647;False
61;-5296007.5;-59000974.625;42.36309;14.27466;13;263.4853;False
62;-4068020.75;-52394229.3625;49.77955;8.41748;13;268.0647;False
63;-4879852;-57622988.8;43.04846;8.308838;13;263.4853;False
64;-7077220.5;-61499222.925;34.50094;7.321045;13;268.0647;False
65;-2358421.25;-57080697.3625;64.6829;17.35681;13;268.0647;False
66;-2176282;-60755111.95;63.58444;14.17957;13;263.4853;False
67;-5847462;-60479693.1;37.7477;7.230469;13;263.4853;False
68;-6717496.5;-63713503.425;35.4551;6.278809;13;268.0647;False
69;-5122138;-63945787.5;42.48455;10.3833;13;263.4853;False
70;-9112850;-68127264.05;27.16323;8.376709;13;268.0647;False
71;-9655800;-63880160.85;23.17993;8.312744;13;263.4853;False
72;-9707461;-63624369.9;22.7382;7.276855;13;263.4853;False
73;-9759202;-64710859.55;22.62627;7.487793;13;263.4853;False
74;-5883840;-57970117.725;38.05573;8.343018;13;263.4853;False
75;-4139594.25;-64023486.2125;71.27821;13.39917;14;311.1014;False
76;-3625926.25;-58915241.6625;51.51033;11.30322;13;263.4853;False
77;-5837189.5;-59366545.125;37.80043;7.240479;13;263.4853;False
78;-1599010.625;-61836374.28125;69.60848;14.24121;13;263.4853;False
79;-5213375.5;-59358938.5;42.25574;11.36401;13;263.4853;False
80;-3754469.75;-60954869.7375;51.78572;17.29834;13;263.4853;False
81;-2836852;-53924108.25;80.56651;14.37524;14;311.1014;False
82;-1619424.375;-55275771.01875;71.76608;17.35449;13;267.1672;False
83;-1822196.75;-59377729.4375;67.73296;17.28662;13;263.4853;False
84;-5748182.5;-60902554.925;38.28483;7.379395;13;263.4853;False
