Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;3999942;814576.08515625;22.8907;6.379329;10;336.57;False
2;16856562;2256623.94453125;46.89671;12;11;332.1651;False
3;23456046;4725590.3609375;54.49855;17.41222;12;365.9848;False
4;55181968;9835151.1484375;77.94025;22.41852;12;327.0654;False
5;60963528;15206370.034375;80.67281;20.47534;13;341.057;False
6;54606584;11522830.0570312;76.4431;14.40431;13;341.057;False
7;36319112;12496899.4046875;64.92912;17.43298;14;331.5109;False
8;44548212;19081572.9015625;70.67323;14.42004;12;344.7782;False
9;86125016;19291474.3859375;92.2765;17.56265;12;344.7782;False
10;87546248;17968942.9382812;93.26804;26.80875;14;331.208;False
11;37348980;11650282.828125;65.5678;16.40152;14;330.8989;False
12;37188216;14158385.475;65.56851;17.45651;14;330.9172;False
13;113729552;24725097.38125;103.2425;27.43219;14;330.9172;False
14;61060908;22672729.3765625;81.11612;19.50793;11;322.5779;False
15;58845744;17343614.28125;79.95562;19.65094;11;322.0905;False
16;47750328;24462793.65625;72.90932;15.9267;12;341.073;False
17;74978336;27637510.521875;88.11162;21.41425;11;322.0905;False
18;49798920;25294628.9953125;74.10647;19.80725;14;342.8144;False
19;76346712;23956462.690625;87.93802;18.56519;13;342.1872;False
20;37063736;16807810.7125;65.97806;15.52209;11;326.0478;False
21;58746988;22804746.240625;79.20805;17.7793;13;342.5382;False
22;58782636;22591918.1921875;79.5872;16.80444;11;326.0478;False
23;50726264;20815605.221875;75.33474;19.21967;11;327.917;False
24;53009484;22344628.325;75.85675;14.83899;12;332.488;False
25;52628240;19256271.671875;76.17414;16.83093;11;327.175;False
26;125856400;23791289.059375;107.1395;18.50238;11;328.6357;False
27;63126748;17822633.628125;80.99899;14.49463;13;330.9427;False
28;67802616;21515419.8;82.26523;10.47345;13;331.5654;False
29;121054216;31135865.3875;105.3566;20.5448;13;331.0332;False
30;171810432;40996324.6765625;119.1514;14.60193;13;330.8668;False
31;106037064;32569159.6734375;100.0774;20;13;330.6141;False
32;122472960;37184136.825;104.6447;13.92578;13;330.8668;False
33;61450136;25378564.590625;78.02721;8;13;331.6672;False
34;95539344;28052792.896875;94.437;11.51379;13;332.1635;False
35;77232064;30911797.0125;87.45468;13.41296;13;329.8406;False
36;58617628;29494868.05;77.82663;11;13;331.4488;False
37;118267744;37559501.446875;102.8487;12.49475;13;330.4872;False
38;64201500;25209976.146875;81.77943;14.47217;12;327.6606;False
39;91918648;32694201.475;93.32224;12.43164;13;330.5543;False
40;83929120;29081401.4;89.78664;11.45081;13;330.0706;False
41;138457024;42169782.06875;109.2001;12.45557;13;330.5595;False
42;100561296;29346390.1375;97.85181;18.43054;13;328.7987;False
43;132734768;43670342.91875;108.3029;14.54163;12;329.149;False
44;123632368;39729673.8765625;105.041;14;13;329.2889;False
45;140348928;35155547.1;110.9937;17.47168;13;329.0009;False
46;139530144;43935353.434375;109.8724;13.58276;13;331.804;False
47;58605012;24531403.8046875;78.63397;13.22351;12;326.0997;False
48;90663848;36866500.1375;92.92931;12.7981;13;330.455;False
49;149738384;33241725.53125;112.8126;13.45435;13;331.8949;False
50;93735544;37129150.90625;94.28651;13.36377;13;334.2038;False
51;113436776;29423263.428125;101.4962;13.44653;13;333.6917;False
52;147991088;36037533.225;111.4715;11.11353;13;330.0721;False
53;83655168;28643922.5;89.68496;11.48926;13;330.0721;False
54;119511312;39601448.45;104.1563;16.09021;13;330.7907;False
55;93240984;33061724.425;93.37624;11.01685;13;333.5367;False
56;128446712;33354562.803125;106.0212;12.13794;13;330.7907;False
57;142248688;38584427.240625;110.2048;12.11328;13;330.8295;False
58;85921384;28395738.71875;91.31182;14.02783;13;330.7907;False
59;78188072;27210552.1;88.22398;15.06421;13;332.4711;False
60;83685840;26543371.8375;89.57393;11.12061;13;330.7907;False
61;87123552;19738145.26875;91.41348;12.4707;13;332.2185;False
62;90537080;26489765.9;93.25253;14.32446;13;331.8319;False
63;85423672;21601119.321875;89.86716;10.0166;13;330.7907;False
64;147597504;33185099.8875;112.401;14.16235;13;330.7907;False
65;94628904;34700070.409375;95.51797;17.98242;13;330.8285;False
66;127793768;39132000.8;105.844;12.22095;13;329.3065;False
67;123002928;36555738.9875;104.844;14.02881;13;333.7284;False
68;128077016;34652039.496875;106.498;14.12695;13;335.7581;False
69;63487564;28710934.675;81.42414;14.49731;12;330.3004;False
70;143000144;46415582.85;111.0957;13.42578;12;333.0049;False
71;100889048;34621860.275;97.88463;16.3252;12;333.559;False
72;323471616;41356234.91875;153.0023;24.58716;12;332.4019;False
73;144510544;41709539.15;112.5095;17.67749;12;335.1291;False
74;122305760;35572676;104.3189;12.9541;13;332.3689;False
75;106542248;27849760.3875;99.42274;13.83081;12;330.088;False
76;65127492;24445975.125;81.92846;12.98242;12;329.871;False
77;236287216;41475152.653125;135.9356;21.7793;12;329.871;False
78;133779448;38420977.0046875;108.1686;13.72046;13;331.6351;False
79;59811328;31057059.1375;78.74686;12.03296;13;330.8004;False
80;107776368;42351735.05;99.61373;13.80029;13;333.3932;False
81;70449136;27696650.6046875;84.86725;16.10522;13;334.206;False
82;114016440;34713349.425;102.3637;16.44507;13;332.4828;False
83;133318520;49210787.0125;108.0128;13.66992;13;332.4001;False
84;109178752;42288793.3625;99.59463;12.02246;13;331.2175;False
85;92661584;43254445.85;93.52245;12.12573;13;332.5396;False
86;66277620;32288477.53125;82.79471;15.75391;13;334.2332;False
87;177778608;50053320.7;121.9585;21.29321;13;335.8563;False
88;103077240;43821855.65;98.60911;17.24609;13;330.8983;False
89;86365560;30271796.15;91.80875;15.57397;13;331.664;False
90;75004640;35159314.75;85.15833;9.414063;13;331.664;False
91;133732952;36963777.75;108.6198;15.62476;13;340.5055;False
