Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;6589055.5;418803.660915852;90.95229;23.31091;11;321.2458;False
2;1035393.3125;245075.866517639;48.00786;13.58795;11;321.5998;False
3;2712145.5;979902.730987549;67.57154;22.41226;12;322.7859;False
4;7116991;1219237.649646;92.80382;19.78947;11;321.0776;False
5;5442953;1349522.28295898;83.72794;14.41902;11;320.7701;False
6;10494448;1959067.40973511;105.7824;20.59816;11;319.8052;False
7;4687629.5;1439746.7982666;81.23307;23.67998;11;322.2953;False
8;5062784;1269287.80991516;81.26338;12.91815;11;321.9995;False
9;4515590;1060256.24860551;80.49679;26.57111;11;320.6954;False
10;5389304.5;1253148.14745365;83.51694;14.6489;11;320.4991;False
11;6897210.5;1984665.91280054;92.29305;22.86536;11;319.9288;False
12;22053834;3428828.83404846;136.3404;25.01535;11;321.6202;False
13;7588926;1847628.42320557;94.56733;18.48407;11;320.6584;False
14;15595895;3584265.85960693;121.4434;24.83856;11;322.9471;False
15;7384281;2339490.12641602;95.17166;30.47174;11;320.6584;False
16;20252006;2557425.91657715;133.5398;33.8877;11;322.908;False
17;13620457;3894401.5671875;114.1932;15.8844;11;322.9471;False
18;7462739.5;2205171.65888062;92.52941;13.03674;11;322.9471;False
19;12739182;3070234.37398682;113.5229;24.84857;12;325.8457;False
20;11542989;1859853.1145874;108.7283;18.37244;12;324.728;False
21;11070152;2319699.73706894;108.0486;22.80499;11;323.2361;False
22;13078883;2986642.36899414;113.6036;19.47772;12;326.6625;False
23;16353442;3880709.92918701;123.8353;28.41962;12;325.3683;False
24;17047056;2972805.59041824;124.4413;21.0509;11;323.6554;False
25;12806109;2819845.43019637;113.9014;26.25543;11;324.1434;False
26;22694198;3783045.64428711;136.9998;21.53241;11;324.1434;False
27;12609172;2573993.01809244;110.2285;13.08459;11;323.973;False
28;8490729;2598519.32255859;98.83163;22.30017;12;326.6549;False
29;13000797;3443775.06812665;113.8876;22.14417;11;324.0574;False
30;16435287;3057845.50007324;123.5771;24.79102;11;323.1388;False
31;11368210;2189882.01566162;107.9971;17.62219;11;322.7217;False
32;12229267;2321702.86584473;111.0749;19.41187;11;325.6286;False
33;23089716;3837569.2265625;137.9216;22.15906;11;325.6286;False
34;15621042;2846058.15019531;121.3562;23.82117;11;323.5124;False
35;22262754;3375878.42650623;135.9621;20.78687;11;323.4369;False
36;17266074;3861760.26170654;123.1147;14.63916;11;322.609;False
37;30087852;5284411.95449219;151.0372;24.05066;11;322.609;False
38;22042766;4849123.61718826;137.6084;36.90271;11;323.8568;False
39;9731713;2920910.46157227;101.9677;15.48328;11;324.0442;False
40;29849682;5907466.31538086;149.5952;19.55359;11;323.303;False
41;14118270;3400172.88789062;116.5588;19.57605;11;325.7729;False
42;19526830;3265669.86608939;130.6243;23.22168;11;324.8062;False
43;12493685;3566174.56054688;111.6421;18.40674;11;326.5993;False
44;7609822;2739072.10645752;94.86179;19.58496;11;321.7804;False
45;11041632;3317585.62261353;107.0464;18.00476;12;321.7443;False
46;11129518;2893408.01811523;107.5661;19.05371;11;323.1599;False
47;19606234;5038292.54932861;129.0027;16.06409;11;320.3289;False
48;22706154;3474968.43452096;137.6885;25.13245;12;324.5132;False
49;16701959;2795899.10339355;123.3678;19.98108;12;324.454;False
50;14087718;4935276.21217651;116.7743;21.03345;12;324.5132;False
51;16304773;3196909.44399414;122.673;21.3811;12;324.5132;False
52;17094380;3927957.03989258;123.7116;17.56128;10;319.7781;False
53;16574552;3002721.31569824;122.9171;19.37476;10;318.9623;False
54;17713226;2626477.56279297;124.8866;16.60156;12;326.791;False
55;4817780;1854405.69709473;80.10454;13.4519;12;324.5132;False
56;7712651;1993894.04783936;93.3419;12.51978;11;320.7929;False
