Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;104.27872467041;20.2408536851406;291.7923;16.15798;13;345.2201;False
2;216.024047851563;50.4187388300896;532.0089;28.02783;13;345.2201;False
3;190.548248291016;70.760000872612;463.0774;23.52534;14;322.3686;False
4;253.989608764648;86.224842107296;501.2297;22.00924;14;369.6581;False
5;474.938049316406;106.927371704578;547;21.72287;14;369.4186;True
6;226.112869262695;91.5247011303902;495.1692;23.53505;14;347.4411;False
7;246.324157714844;87.8200612902641;502.8576;22.80266;14;369.4186;False
8;233.505905151367;96.0158891201019;491.6674;22.83752;14;368.0022;False
9;487.695861816406;118.609607625008;547;21.164;14;371.0686;True
10;274.495147705078;91.7760484337807;528.4321;22.90176;14;369.6575;False
11;162.911209106445;78.1937382102013;405.3416;21.52551;14;371.0686;False
12;203.245254516602;113.672219645977;463.0235;22.22495;13;368.6172;False
13;213.312911987305;114.604698443413;463.7276;21.9953;14;368.845;False
14;466.752746582031;146.133172500134;547;22.17746;14;373.3389;True
15;250.951721191406;97.217044365406;467.244;18.73792;13;366.6765;False
16;204.419494628906;82.6000258922577;497.8925;25.97696;13;370.7991;False
17;519.689636230469;142.936878609657;547;19.89069;14;372.8923;True
18;155.926712036133;78.6285116314888;350.0294;16.80341;14;369.4814;False
19;179.438629150391;105.919624996185;405.3301;19.61005;14;368.0432;False
20;487.174255371094;135.698349094391;547;21.21173;14;372.8737;True
21;263.527496337891;131.236857795715;527.9894;23.80908;14;372.2172;False
22;239.865570068359;120.078744196892;497.8661;22.94019;14;372.2172;False
23;227.663696289063;134.836765480041;464.8953;20.91522;14;375.3236;False
24;231.325805664063;121.233579659462;436.2731;18.15521;14;372.5754;False
25;228.181884765625;107.758584904671;527.7888;26.51294;13;368.6667;False
26;383.02587890625;115.16237514019;547;27.75647;14;373.9716;True
27;408.628845214844;130.071797680855;547;25.66229;14;372.4815;True
28;491.905334472656;161.637513399124;547;20.99323;14;372.0029;True
29;466.205627441406;134.69104834795;547;22.15289;14;369.8785;True
30;455.56201171875;187.57543888092;547;22.72955;14;371.7871;True
