Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;26095048;3579623.38130029;296.6102;18.58689;12;272.797;False
2;24721754;4518765.88228922;291.3129;20.43862;10;314.2347;False
3;66944380;5991936.72612751;406.0424;22.77607;14;326.6619;False
4;31757252;2603459.71855823;316.6754;22.47217;14;326.6619;False
5;51547560;8967730.97292856;372.1654;24.96746;14;326.6619;False
6;53471180;4416654.32284937;376.7384;22.48511;14;326.6619;False
7;40517148;7595929.43799139;343.4627;17.22127;13;384.1227;False
8;163667328;14537529.6432974;547;19.70856;13;384.1227;True
9;65398056;9764558.61993705;402.8917;25.75349;12;350.4507;False
10;43931908;7244914.44979568;352.8526;21.03152;12;393.7019;False
11;120926384;15239580.9187916;494.5084;24.9736;12;393.7019;False
12;122403760;9093370.73940109;496.5141;24.48682;13;334.5424;False
13;42002620;4206044.83026893;347.6099;21.71176;13;324.9373;False
14;19094226;983292.153621085;267.2805;14.66367;13;324.9373;False
15;83947504;8297836.63078164;437.8607;22.64139;14;402.712;False
16;41703760;9351616.98310496;346.7835;16.43414;13;239.7112;False
17;25036720;4818588.56951678;292.5449;18.03442;13;239.7112;False
18;163667328;14380148.8425057;547;25.38788;13;375.4442;True
19;99037784;17502629.1264608;462.6653;24.65082;13;461.4216;False
20;163667328;18937029.8824529;547;24.64203;12;306.8234;True
21;69392640;7424905.28668103;410.9331;20.6629;12;306.8234;False
22;100501160;10668626.6197279;464.933;20.51428;12;288.7802;False
23;120158312;7961806.53823458;493.4592;25.59589;14;400.3497;False
24;20073330;3276692.31292473;271.7731;20.32452;13;310.6416;False
25;147430240;24446298.7851394;528.2776;26.1571;12;337.9394;False
26;25314854;2623468.19225903;293.6242;19.79218;12;337.9394;False
27;32779842;4266453.03851624;320.0385;32.80328;14;367.3892;False
28;25039548;3422932.92904007;292.5559;23.33911;11;386.4738;False
29;24958980;4154201.98076559;292.2418;18.34418;11;386.4738;False
30;34329944;4627456.59035172;325.0057;26.10583;14;356.8552;False
