Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;54917533696;27218575155.2;0.5406239;5;13;418.5512;False
2;71817404416;36741828352;0.2621083;0.3720093;13;452.4132;False
3;71816986624;46425740288;0.2613523;0.3366318;13;452.4132;False
4;129243774976;57110477926.4;82.57135;18.36118;13;452.0159;False
5;104699535360;63452850790.4;0;0;14;498.8348;False
6;104721154048;72256356761.6;0.02936757;0.3610687;14;498.8348;False
7;129824825344;84194851225.6;83.53788;14.20338;12;456.7222;False
8;116250165248;85657678848;67.19117;15.02541;12;456.7222;False
9;112086155264;83425573273.6;19.55219;6.009277;13;494.0605;False
10;161512669184;96647356006.4;40.50266;11.22412;14;523.4424;False
11;162050457600;104607689318.4;20.69029;11.28656;14;543.7819;False
12;165500682240;111015276134.4;24.0408;8.19278;14;543.7819;False
13;164629184512;119605314764.8;23.19948;8.202332;14;543.7819;False
14;163337486336;120756408729.6;21.94632;7.225739;14;543.7819;False
15;168581955584;130124133171.2;22.86719;6.179871;14;547.9037;False
16;214923116544;141401112166.4;80.28346;14.12518;14;530.5969;False
17;228563861504;147349941862.4;73.06659;13.24493;14;548.3693;False
18;218905083904;159219500236.8;65.52496;13.1391;14;548.4874;False
19;215960059904;159030299033.6;63.21268;13.28564;14;548.4874;False
20;199243923456;156943214592;50.24789;15.29486;14;547.8595;False
21;268080349184;166414421606.4;131.1267;18.12476;14;518.4321;False
22;228022845440;161769043148.8;77.78181;11.42444;13;548.2445;False
23;191790153728;161685220556.8;48.46705;10.17108;13;548.3022;False
24;228034723840;166094899609.6;77.73313;12.14191;13;548.3022;False
25;237226524672;172003606528;79.07738;20.05591;14;548.8188;False
26;183375495168;158929891737.6;50.58502;11.24908;12;543.803;False
27;232390426624;168649828761.6;80.01745;20.12592;13;549.2944;False
28;213290254336;166196654489.6;66.83803;13.28992;13;547.7454;False
29;247366352896;163033568051.2;95.25096;17.16022;13;544.9861;False
30;253218963456;165626081689.6;88.63405;21.36951;14;550.738;False
31;227693789184;167196644966.4;81.41567;14.17944;13;544.3612;False
32;249756811264;170412960563.2;93.91474;18.14355;14;543.02;False
33;210789679104;163096630067.2;56.84476;17.16907;14;550.738;False
34;243540656128;176050648678.4;81.75643;13.07349;14;550.738;False
35;239619735552;179090464768;80.65903;20.01709;14;548.9907;False
36;236433801216;178089392537.6;78.32175;17.25818;14;548.9907;False
37;258052358144;189456798515.2;93.14618;15.13025;14;549.587;False
38;388426891264;195714789376;169.8679;28.88403;14;549.587;False
39;278436151296;184927036211.2;106.8223;21.19861;14;549.587;False
40;278034317312;182086193971.2;101.6062;21.22607;14;554.5409;False
41;295160905728;188811889868.8;122.4649;20.02808;14;544.6152;False
42;228397498368;180583110246.4;71.94775;25.00134;14;549.3622;False
43;279235428352;180831334400;112.7927;21.07776;14;544.1373;False
44;265319464960;185587420364.8;95.8635;29.05566;14;551.8354;False
45;260773724160;194136540774.4;96.63774;15.15137;14;547.9671;False
46;262701285376;187661519257.6;95.15276;22.17358;14;550.769;False
47;238357921792;182032103014.4;79.98858;17.1781;14;548.7382;False
48;228399693824;180955364966.4;73.93111;14.28625;14;547.3806;False
49;267781881856;176814427340.8;101.9438;25.97705;14;547.4146;False
50;250835517440;183916163072;89.28236;12.16406;14;548.4145;False
51;303012249600;179688929689.6;124.3007;20.00574;14;547.6329;False
52;230017138688;184536924160;72.82944;11.28113;14;549.7029;False
53;241222926336;183934711398.4;82.00361;15.16687;14;548.8134;False
54;209625759744;181835105075.2;58.35601;12.11267;14;548.2894;False
55;232828911616;179412987084.8;69.54419;14.20215;14;555.0949;False
56;218302840832;177628653977.6;64.65118;20.25354;14;548.8903;False
57;397399916544;190957504921.6;173.6033;20.75928;14;550.3719;False
58;240712613888;191538896896;81.17698;15.26685;14;549.2691;False
59;262306250752;188158428774.4;94.94993;18.98828;14;550.7025;False
60;260863148032;189832412364.8;93.06191;15.9353;14;551.6042;False
61;212915322880;177177083904;57.68036;14.95557;14;551.6042;False
62;243520438272;188294725632;78.92154;24.31738;14;553.5583;False
63;220508700672;180345574195.2;61.15088;16.0083;14;554.1108;False
64;246744563712;185878222438.4;80.68273;17.0481;14;554.1108;False
65;250866434048;175414038528;83.85426;17.61621;14;553.8644;False
66;266679140352;180149893529.6;94.75225;22.42236;14;553.8644;False
67;246730719232;175334017433.6;80.67285;14.90918;14;554.1108;False
68;249789399040;181327513190.4;82.84704;11.06152;14;554.1108;False
69;258363703296;196398519910.4;92.26755;15.9353;14;550.6805;False
70;261285134336;182372660019.2;93.20806;16.96655;14;551.7469;False
71;270902329344;193782299033.6;95.18687;13;14;556.2581;False
72;256960479232;184515399680;90.96679;19.2002;14;551.0112;False
73;329445801984;193197857996.8;137.3244;24.31323;14;550.2861;False
74;284484894720;193414080921.6;109.0731;21.12646;14;551.2496;False
75;262744440832;201897440870.4;92.13021;22.04517;14;553.8209;False
76;264936751104;204428396134.4;94.2406;17.00391;14;553.1993;False
77;308867170304;209917331865.6;119.2371;17.09937;14;556.2548;False
78;239929311232;196179317555.2;78.47791;19.09692;14;551.3976;False
79;296257978368;191992222515.2;111.3454;17.1792;14;556.4187;False
80;310991421440;203594451353.6;126.1323;16.15405;14;550.6381;False
81;282837942272;203057778688;108.6253;16.20801;14;550.6381;False
82;285653532672;204822729523.2;110.4335;17.24194;14;550.6381;False
83;265704325120;196629892300.8;97.3209;12.33838;14;550.6381;False
84;259053338624;195122858393.6;92.78519;11.38281;14;550.6381;False
85;282466222080;193520064921.6;108.3856;15.21216;14;550.6381;False
86;270361509888;198259204096;95.78827;14.21484;14;555.2963;False
87;316282077184;209337522585.6;124.8665;25.11133;14;555.0599;False
88;271735177216;180335502950.4;96.9389;16.18359;14;555.0599;False
89;294751993856;197105949900.8;111.7649;26.83423;14;555.0599;False
90;248927420416;192848063692.8;79.70736;14.26196;14;556.6398;False
91;277199683584;201028472012.8;94.83582;13.07446;14;560.7657;False
92;273684152320;210173310566.4;96.18573;20.17065;14;557.1042;False
93;257637711872;209837788364.8;89.7513;17.06885;14;552.6954;False
94;257001684992;194712958566.4;81.36057;20.97754;14;560.646;False
95;236987990016;198580074086.4;65.97567;12.25244;14;561.745;False
96;295815970816;220392077721.6;108.8316;31.13721;14;558.6571;False
97;292865212416;210391344742.4;107.7022;22.15381;14;557.9406;False
98;277536735232;194420239564.8;97.88144;21.9165;14;557.9406;False
99;276424654848;196948158054.4;93.6098;17.08252;14;561.484;False
100;232141258752;195168483737.6;64.82535;14.19287;14;559.3003;False
101;344413241344;202668513689.6;138.1321;19.34229;14;557.9406;False
102;247710384128;194140454092.8;76.16389;13.1604;14;559.3183;False
103;260597891072;200269946060.8;92.95365;20.10767;13;556.5307;False
104;254575411200;190056260403.2;81.00182;17.1814;14;559.3183;False
105;279961731072;204493983744;96.77993;16.11035;14;560.6224;False
106;304381100032;215140735385.6;108.9488;20.25171;14;563.8214;False
107;281244303360;211592440217.6;99.71292;23.96851;14;558.5211;False
108;254212898816;185585473945.6;79.21188;13.19434;14;560.8552;False
109;236387401728;191886251622.4;65.89159;17.04028;14;561.3866;False
110;324582080512;199899398144;123.4121;21.08862;14;561.3866;False
111;330589372416;199879543193.6;126.4627;23.20215;14;561.8044;False
112;256891060224;210205787750.4;80.12554;13.01123;14;561.8044;False
113;278722248704;191212231884.8;94.79147;16.25244;14;561.8044;False
114;306289410048;195975101644.8;112.1272;14.21191;14;561.8044;False
115;301298483200;201324312985.6;108.8874;17.28955;14;561.9949;False
116;302885044224;198729209446.4;110.2042;24.04736;14;561.6515;False
117;273174429696;208792818483.2;93.30099;14.19629;14;559.6519;False
118;279968546816;202107650048;95.87992;15.23486;14;561.5268;False
119;301738819584;210314016358.4;109.6261;12.12598;14;561.5268;False
120;261449547776;210410219110.4;81.82526;22.06201;14;563.2421;False
121;281900908544;216855044915.2;93.80305;21.37012;14;564.8556;False
122;284737011712;219473463705.6;92.03462;20;14;568.4498;False
123;255141462016;215495695564.8;73.89152;17.11572;14;566.8231;False
124;313722077184;230561719910.4;109.6887;20.12109;14;568.7156;False
125;270444003328;224954750566.4;82.29707;13.00586;14;568.8425;False
126;273584455680;214266315571.2;89.41447;17.02588;14;563.8096;False
127;253438853120;216933243289.6;73.10477;18.96436;14;566.4212;False
128;261389107200;215238160384;80.24402;18.9585;14;564.782;False
129;247176560640;201823440076.8;67.32244;19.23682;14;567.7794;False
130;270000766976;197997586022.4;80.71052;13.07324;14;570.1334;False
131;269783187456;210858291200;79.92413;20.11377;14;570.7745;False
132;296679014400;213704186265.6;97.38656;15.12305;14;570.6395;False
133;268057034752;205464664473.6;79.36297;21.15283;14;570.1801;False
134;302543601664;230575243264;104.4952;21.20947;14;567.1514;False
135;291931750400;207988660633.6;94.87572;17.08594;14;570.1801;False
136;289200668672;226539390566.4;95.26349;18.09766;14;568.0671;False
