Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;26241820672;8702207289.6;23.43636;6.999999;12;230.9966;False
2;32205461504;16376582694.4;44.85246;12.78225;12;231.7536;False
3;35787862016;22094752307.2;51.76563;15.82549;11;226.6341;False
4;37013237760;23950808268.8;51.85781;11.61241;11;226.6341;False
5;37354864640;24888384512;76.20567;9.674301;9;260.2076;False
6;54107975680;29816953446.4;80.41383;18.81833;11;210.9355;False
7;47253327872;27422184396.8;65.45682;18.1069;12;210.0634;False
8;55908864000;30476350003.2;67.62168;17.65497;11;192.8504;False
9;49895157760;31535740825.6;55.5856;16.86536;11;192.8504;False
10;56087117824;35471326208;67.167;16.33923;11;192.8504;False
11;60649455616;35365942272;94.91243;23.38593;12;210.8309;False
12;55984353280;35668460032;68.09964;19.38455;11;192.213;False
13;62743150592;36603543552;81.53632;20.73013;11;192.8504;False
14;55633657856;40484099174.4;67.17731;17.77899;11;192.8504;False
15;54454394880;41614275584;49.90781;8.414185;11;184.634;False
16;69504933888;42721255424;80.08441;12.72449;11;185.5088;False
17;68500705280;45895811584;81.58314;23.21954;11;180.5318;False
18;61793390592;39564416409.6;67.17982;16.88965;11;180.5318;False
19;57603076096;41097173811.2;66.94564;16.12512;11;189.4961;False
20;51326648320;39478809395.2;50.15491;9.822815;11;189.4961;False
21;74150772736;48151864115.2;95.99554;20.04688;10;188.5313;False
22;70439321600;50357427916.8;90.85841;14.58289;9;194.376;False
23;65630412800;48547017932.8;80.77747;19.1228;10;187.3033;False
24;71169048576;49791867392;81.49683;18.95392;9;177.8931;False
25;74135674880;50517184716.8;92.85786;21.11694;9;184.2465;False
26;66820276224;50513305190.4;81.63622;22.19281;9;184.2465;False
27;75329413120;52871786905.6;94.50233;20.79193;9;184.2465;False
28;75624652800;55544753766.4;82.2702;18.43372;10;171.2555;False
29;78131986432;54897560985.6;98.81847;24.92395;7;182.0154;False
30;73471156224;58589238067.2;81.39729;20.95789;8;172.4188;False
31;78368743424;55603134873.6;93.75819;16.56213;10;181.6437;False
32;77793214464;58240318668.8;80.27382;21.80518;10;163.1946;False
33;80217464832;59021840179.2;84.28721;22.7843;10;163.1946;False
34;72720400384;55146670694.4;69.75787;16.43726;10;163.1946;False
35;87671668736;61910181068.8;93.98391;18.53735;10;165.0486;False
36;79768854528;58437850931.2;83.52554;20.01733;10;164.5985;False
37;88134492160;59201853849.6;94.92313;18.61719;10;165.3572;False
38;72513945600;57319068262.4;74.93122;20.901;11;166.7604;False
39;81019543552;58050458624;82.98775;19.66406;8;162.1326;False
40;72971542528;56610384281.6;68.81537;15.84888;10;162.0986;False
41;79823585280;55389220044.8;84.17449;19.32043;10;165.7086;False
42;77984473088;62229302681.6;79.96836;21.6615;9;162.5958;False
43;77035102208;59876748902.4;81.23695;22.2959;10;165.3357;False
44;78293762048;59567817523.2;81.20667;18.59705;10;165.3357;False
45;80435249152;63921942732.8;80.10902;13.9198;10;164.8227;False
46;81881817088;55298805964.8;81.22571;14.57813;10;163.0111;False
47;82281349120;57439593676.8;83.23248;15.67578;11;163.5801;False
48;90692804608;62836826931.2;97.31432;16.72253;10;165.9988;False
49;77453172736;56656727859.2;79.6088;18.60547;10;164.8998;False
50;88915451904;59095565107.2;96.34148;19.18079;9;165.345;False
51;77310730240;57009536204.8;79.58632;18.09949;10;165.4752;False
52;83357343744;56368282828.8;84.51188;19.60022;8;160.1236;False
53;119956070400;67065020006.4;137.9965;21.07178;11;169.1308;False
54;80944766976;55911435264;84.1631;13.41052;11;169.5979;False
55;79554461696;59849137971.2;84.72897;16.4104;11;169.1308;False
56;80094724096;59394367283.2;83.41368;18.53857;10;164.9251;False
57;76858793984;59179637555.2;78.09982;15.52051;9;166.6656;False
58;83729154048;63493527756.8;94.99014;25.55884;11;168.2179;False
59;83937009664;66009940582.4;94.97479;23.43994;11;168.8749;False
60;77855866880;58606826496;83.64764;21.09595;9;167.3132;False
61;84443815936;60449955020.8;96.22209;21.18066;11;170.7848;False
62;87505477632;63124942028.8;94.8557;21.23145;9;164.3716;False
63;83813195776;62781999308.8;97.6711;26.23096;11;170.7848;False
64;86055288832;62542697267.2;93.71289;23.41895;10;164.098;False
65;86720225280;61624296960;95.91732;25.77759;10;164.4173;False
66;88366850048;64229107712;96.25278;19.96436;9;165.4958;False
67;77708713984;60797492633.6;82.25494;21.75293;9;165.619;False
68;80872038400;57520932249.6;82.88817;18.26245;10;163.2313;False
69;79277883392;56439000473.6;81.59121;19.9563;10;163.2313;False
70;87177428992;55540204134.4;95.25136;23.61328;8;163.9761;False
71;82421932032;57850199859.2;78.80298;14.68213;8;159.0949;False
72;96739590144;62439389593.6;110.2453;25.1604;9;165.6898;False
73;80150618112;58111237529.6;84.60069;22.41138;8;163.8456;False
74;89591324672;63864836505.6;99.60489;26.66382;9;163.7119;False
75;98132525056;63366288793.6;110.3878;25.43213;9;163.7119;False
76;87265787904;64080784588.8;96.1796;25.80762;8;163.8456;False
77;92005187584;61956686848;97.68091;17.79712;8;163.3985;False
78;89053020160;61260087500.8;94.68311;18.60938;9;163.6708;False
79;89540853760;62459767193.6;97.1978;21.60645;9;163.6708;False
80;89882435584;61581733273.6;96.9445;20.38086;9;163.6708;False
81;88193662976;62906368614.4;95.19409;21.04468;8;163.811;False
82;89344999424;63284982579.2;96.10739;23.87866;8;161.4586;False
83;88706727936;63991024435.2;96.06522;25.87598;8;161.4586;False
84;90136322048;59488450560;96.30309;22.07886;8;161.4586;False
85;86309584896;59900076441.6;95.8541;29.2356;9;163.6708;False
86;79952404480;59748349747.2;82.62309;17.68994;9;164.8845;False
87;88868397056;67079742464;97.1228;23.57471;9;163.4895;False
88;96642097152;62419129958.4;110.7738;27.21655;10;165.424;False
89;89161973760;64291463168;96.86115;23.08789;9;163.0041;False
90;90291716096;63888782745.6;100.2186;22.91895;9;165.171;False
91;88471044096;66335330713.6;96.59077;24.95117;10;162.823;False
92;88980987904;65436635955.2;93.36802;18.62256;10;162.2436;False
93;97759428608;65094325862.4;110.2467;23.32983;9;165.2588;False
94;89319268352;60389912371.2;96.18993;22.65503;10;162.2436;False
95;84339572736;61084903628.8;94.44435;21.47339;10;168.7394;False
96;90161602560;60193111859.2;96.71401;18.33032;9;164.5743;False
97;89727746048;66081411276.8;93.51144;18.95996;9;160.9997;False
98;93067608064;63688158617.6;100.2894;23.06982;9;160.9997;False
99;79662219264;57182940160;81.42247;22.52441;9;160.9997;False
100;81226645504;59707415961.6;82.07448;19.52441;10;160.8289;False
101;85471322112;62012799180.8;93.57303;22.1062;8;165.5733;False
102;81780981760;60519461683.2;82.0701;17.33569;8;161.5075;False
103;89297559552;64203347558.4;96.32877;25.52515;9;160.9997;False
104;90117898240;67054693580.8;96.21227;23.93677;9;160.3687;False
105;90756325376;68725814681.6;95.35573;18.6521;10;161.8231;False
106;89223831552;67101558988.8;96.0875;23.48682;10;161.8231;False
107;88980168704;60026635059.2;94.41745;22.30518;9;160.9521;False
