Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;5414949.5;354790.738352966;496.4655;26.7714;12;400.4473;False
2;3172906.75;334307.916104126;464.8627;25.42228;13;400.7192;False
3;2745251.75;313919.919869232;466.933;33.08633;12;400.4473;False
4;785643.0625;98645.7461807251;404.2103;27.42111;12;399.5234;False
5;530034.3125;106039.402719879;382.8054;23.31004;13;389.6141;False
6;5046080.5;430026.507448578;492.266;24.27664;12;398.3257;False
7;1533014.5;165188.732266235;436.1412;25.90054;13;388.314;False
8;16256707;1086552.55127029;547;21.68616;12;395.9547;True
9;6019722.5;507499.782175446;499.7694;23.67828;13;389.303;False
10;2043305.375;274129.738258362;449.1498;23.17709;12;395.9503;False
11;15670033;1605767.37542191;547;25.18994;13;389.296;True
12;3290348;548969.248995972;470.5778;23.26624;13;389.0432;False
13;17065670;1446419.75449219;547;20.89294;13;388.8958;True
14;16807736;1391569.42832031;547;21.5188;13;388.8958;True
15;17490770;1575858.43989258;547;19.95526;13;388.8958;True
16;2667104.25;571377.535107422;460.7568;23.87366;13;389.5371;False
17;4894567.5;395556.48421402;493.488;22.28241;12;389.0936;False
18;15641921;2159504.03416138;547;26.17065;13;390.744;True
19;10100157;1183757.73339844;528.5656;22.9198;12;389.552;False
20;3304819.25;785028.220532227;477.4186;26.18256;12;389.7837;False
21;2697077.75;349693.136875153;458.5247;21.40875;13;390.8834;False
22;17232364;2222804.7682373;547;22.20441;13;392.9605;True
23;16343320;1998739.46472168;547;24.78772;13;392.7982;True
24;17984214;1796138.88546753;547;20.37158;13;392.7982;True
25;16228156;1972245.06767578;547;24.71265;13;391.9569;True
26;16153802;1935308.83249664;547;24.16711;13;390.4985;True
27;17350334;2636196.4844902;547;22.41541;13;394.1065;True
28;10794564;1300006.66142578;527.4233;23.85498;13;390.3896;False
29;38421996;3610422.95742188;590.5318;25.53857;13;389.1042;False
30;15428806;1573726.01497116;547;26.00403;13;389.1042;True
