Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;294.318542480469;76.3261849880219;294.3185;18.00603;9;360.1843;False
2;374.975006103516;117.059464503825;374.975;23.16042;14;332.2073;False
3;317.557891845703;113.038707411289;317.5579;22.15036;14;332.2073;False
4;432.466918945313;185.31317909956;432.4669;23.6579;9;360.5204;False
5;497.945617675781;132.100481003523;497.9456;25.37804;13;377.509;False
6;547;227.965570944548;547;20.85927;14;344.2293;True
7;494.833587646484;230.431743377447;494.8336;25.09268;14;343.5411;False
8;468.039520263672;263.358203738928;468.0395;19.74811;10;363.7751;False
9;405.669311523438;220.732553672791;405.6693;18.06927;14;344.3739;False
10;466.204162597656;250.137435150146;466.2042;18.99948;14;344.9072;False
11;547;323.164662742615;547;22.56357;14;343.8323;True
12;468.775421142578;294.865868616104;468.7754;23.56937;14;344.735;False
13;547;282.726926422119;547;22.23743;13;331.2386;True
14;547;305.494826960564;547;23.14716;14;343.0574;True
15;528.270812988281;274.266154241562;528.2708;22.35846;14;345.2221;False
16;404.442504882813;256.774127578735;404.4425;21.71533;14;345.2221;False
17;547;308.823101270199;547;24.25305;14;340.3683;True
18;547;335.87374420166;547;26.69153;14;337.0544;True
19;547;311.512500524521;547;20.45947;14;337.5698;True
20;495.072021484375;303.165502929687;495.072;21.33923;14;339.8582;False
21;406.051177978516;307.359024047852;406.0512;28.06012;14;338.8744;False
22;492.901275634766;283.495915174484;492.9013;29.72455;14;335.1162;False
23;547;268.220859622955;547;25.30353;14;341.1092;True
24;495.779205322266;312.308917617798;495.7792;25.61823;14;341.1092;False
25;547;324.073985290527;547;25.48682;14;344.4205;True
26;435.208953857422;279.017934417725;435.209;23.46948;13;339.5819;False
27;495.929595947266;271.958801269531;495.9296;23.00854;14;347.0958;False
28;529.189636230469;334.938512420654;529.1896;24.42029;14;348.4507;False
29;527.919311523438;332.684328842163;527.9193;25.28516;14;348.4507;False
30;547;286.743200287223;547;19.82446;13;341.9015;True
