Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1544284800;293188229;346.4956;18.99657;11;325.5193;False
2;2165987584;619442704.4;432.0229;22.34807;12;280.811;False
3;2331352832;1043782893.2;388.8937;22.64104;12;402.4248;False
4;2737512192;1061469953.6;469.4755;20.80638;12;306.0988;False
5;3877669376;1555451159.2;547;22.75717;12;320.9964;True
6;3551176448;1299919505.6;529.0563;23.48535;12;313.7557;False
7;3677739008;1356177982.4;547;21.74776;13;281.8442;True
8;3674078208;1505438531.2;547;22.24207;13;282.1703;True
9;3289969920;1303052165.2;529.2164;28.45267;12;280.9631;False
10;3674906624;1401358388.8;529.1597;26.16385;12;334.5192;False
11;3361852416;1386251680;527.5562;25.75977;13;282.2175;False
12;3757103872;1414013430.8;547;22.37357;12;303.924;True
13;4013605120;1767304548.8;547;20.16989;12;334.5192;True
14;4151894784;1582229624;547;19.96646;13;342.1512;True
15;4150898688;2030435929.2;547;20.02908;13;342.1512;True
16;4005712640;1864772106.8;547;27.23291;12;344.0273;True
17;4015079424;2423553924.8;547;19.30493;12;332.8912;True
18;4105584128;2294460843.6;547;19.57782;13;335.3372;True
19;4092868608;2000758019.2;547;20.27869;13;335.131;True
20;4099146240;2131593585.6;547;19.48663;13;334.3038;True
21;4083406336;1801276260.4;547;21.02557;13;335.3346;True
22;4067226368;2176313694.8;547;20.07983;13;331.3827;True
23;3729905920;1925113577.6;528.6135;28.11676;13;335.4084;False
24;4097789952;1819430212.8;547;20.59106;13;336.3857;True
25;4089348352;1406604149.6;547;20.47748;13;335.065;True
26;3394421248;1733936493.2;498.8803;19.16235;13;336.0595;False
27;4104360704;1990813046.4;547;19.99835;13;336.0595;True
28;4102949888;1773563248;547;20.25653;13;336.3989;True
29;5093099520;2170032101.6;608.5032;24.36737;13;336.0595;False
30;3311233792;1434252633.6;495.4354;21.44531;13;334.9688;False
