Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;23717106;8544387.88125;24.071;10.04795;13;288.4943;False
2;70791336;19071470.825;65.11897;14.3368;13;288.4943;False
3;76740264;26594985.325;76.71819;16.28781;11;312.2666;False
4;59780952;23967329.175;40.194;12.34419;13;234.4564;False
5;96384848;27192574.8;80.32545;18.27016;13;289.0744;False
6;75781952;34265982.15;74.46628;15.18974;13;307.5756;False
7;93747408;40853921.6;78.75698;23.8421;13;286.9499;False
8;69354032;32379904.55;65.09805;18.55475;13;289.6999;False
9;94054152;36637637.6;79.21833;19.23026;13;289.0633;False
10;98231352;32589442;80.27407;15.32318;13;287.2742;False
11;96379120;34989695.275;79.96247;15.65121;13;289.0633;False
12;159291040;44686017.4;105.0286;16.81567;13;282.3741;False
13;77321416;32361454.4;69.29093;14.40817;13;289.0633;False
14;166051776;39139257.85;107.9582;19.88678;13;282.3741;False
15;69741856;32043938.95;61.98497;11.60577;13;282.3449;False
16;145760384;48385540.95;98.38947;17.60516;11;277.2759;False
17;101284280;41666274.35;79.45833;23.65582;11;277.2759;False
18;71799128;35065422.8;61.4938;14.40485;11;275.2553;False
19;94987928;39000283.7;79.66462;18.84698;13;289.0633;False
20;98534048;38956875.55;79.53963;14.10516;12;285.1979;False
21;127688896;36611767.4;91.05145;23.14856;11;275.4946;False
22;132073584;37090433.4;90.16125;11.13232;12;273.3734;False
23;110369456;33250594.35;80.99813;12.2121;12;273.2655;False
24;150262976;35078257.3;98.94172;14.14221;12;275.6798;False
25;82908312;33271642.15;67.3203;15.21228;12;272.5526;False
26;93489104;32774783.4;76.20171;22.08551;11;279.9222;False
27;94754504;50296788.85;73.62675;15.15228;11;272.2721;False
28;71840568;35603269.9;61.12175;11.34735;11;275.7354;False
29;75526616;35187661.1;63.05185;10.19055;11;275.7354;False
30;83307640;48841094;68.2037;13;11;275.7354;False
31;128055768;60436235.8;91.21517;21.43225;11;275.9879;False
32;220571648;51728605.6;125.3205;18.44849;11;281.9475;False
33;107215568;57395541;81.49529;18.40027;11;276.0649;False
34;97575640;42557393.95;76.31496;15.42712;11;275.9879;False
35;101888320;44051113.85;80.33669;14.38013;10;282.3278;False
36;139893024;55609244.35;98.46998;19.42126;11;283.8981;False
37;172953344;59844691.5;110.7911;23.37451;10;282.3278;False
38;110359720;44037568.4;83.85838;13.39673;10;281.3008;False
39;165701472;44835795.75;107.326;16.45837;10;282.5028;False
40;130942408;54039542.65;93.07176;12.39893;10;282.6741;False
41;121563224;51408394.7;91.3868;20.37109;11;285.5146;False
42;100873752;47442103.5;79.74532;13.37268;10;282.6741;False
43;136590032;51469732.3;95.87524;17.39551;9;280.894;False
44;163062304;52549746.45;106.2181;15.40149;10;282.6741;False
45;173716000;53021123.35;109.4145;18.30994;10;279.2338;False
46;99142512;50272285.95;80.0994;14.42188;11;285.8009;False
47;108713328;53700152.95;81.7547;10.28662;10;279.9191;False
48;280878208;66866215.8;143.4433;20.40552;12;285.978;False
49;108251232;60011091.9;84.82932;17.3501;11;285.2326;False
50;160533248;52468534.25;107.1687;16.48022;11;287.7744;False
51;142972544;56535980.25;99.88698;23.38574;11;283.1692;False
52;167310576;58301758.35;106.7958;14.30347;10;280.558;False
53;141633344;56750621.15;98.35544;18.32471;10;281.8564;False
54;133931280;54922279.6;95.69387;22.39209;10;281.8564;False
55;100941352;46260511.75;78.76038;10.38098;10;282.0508;False
56;146316208;59619700;100.4964;17.38928;11;283.2145;False
57;165174992;72145041.95;107.8735;18.30298;10;283.7867;False
58;230512288;66826989;128.1528;15.40857;10;283.7867;False
59;227949840;65566287.25;128.1239;22.45923;10;282.0621;False
60;137779536;53050620.9;96.02371;17.3689;10;279.8743;False
61;145866896;42070182.9;100.7852;20.36768;10;283.3743;False
62;141397008;56335472.45;97.6405;14.41187;10;282.1132;False
63;97280624;45255397.2;79.10832;16.40137;10;284.6471;False
64;214204336;53398867.05;123.2498;20.37793;10;280.4889;False
65;94722832;50289495.45;77.54864;15.42749;10;284.3398;False
66;101709064;55139958;78.81512;17.3208;10;276.4826;False
67;139827216;54318510.9;96.14533;20.36304;10;276.4826;False
68;205487520;49619753.85;122.0694;19.44287;12;285.522;False
69;147302272;54634829.45;100.5516;17.42188;10;282.1875;False
70;143299328;50781237.95;97.20029;21.38745;10;275.1212;False
71;197016544;63704777.1;116.1338;13.39258;10;279.5274;False
72;131194680;48805921.8;93.17963;15.38599;10;280.4963;False
73;166992032;50597366.5;106.8623;14.39819;10;281.0406;False
74;300188224;64442236;144.9494;16.38818;10;278.5423;False
75;174841680;60089257.6;108.2017;10.39648;10;281.0406;False
76;366274656;79516201.25;161.7373;19.26196;11;282.3191;False
77;151860256;68049265.95;101.6603;15.47607;10;281.3175;False
78;165855536;60742494.85;105.9772;12.39697;10;281.3276;False
79;171617328;55567791.1;109.3517;26.21582;11;278.5948;False
80;135652464;70479570.55;93.02955;11.30933;10;277.6096;False
81;96609224;59447135.2;76.3567;10.39014;11;281.2413;False
82;269226400;75959350.55;141.3462;26.39209;12;286.3596;False
83;151963264;66765525.55;101.6546;15.37939;11;281.2413;False
84;140735712;73332948;96.87174;17.36841;10;278.824;False
85;153415808;87186102.75;103.5518;19.35083;12;283.35;False
86;163690704;61344048.05;106.4705;17.40186;12;281.563;False
87;201586368;65703126.3;119.8171;19.40796;12;282.366;False
88;134943744;61325383.9;96.08239;19.34741;12;282.7749;False
89;78402648;39009804.1;67.83604;17.40698;11;281.3539;False
90;148150608;60343517.7;98.86596;14.39966;10;277.76;False
91;205993824;69696875.75;122.0696;28.32788;11;282.0845;False
92;236165568;70452502.45;130.8072;15.427;12;287.0212;False
93;163988848;60395895.1;107.4283;13.32397;12;287.0212;False
94;76070664;40643781.75;65.73046;8.400635;12;285.2145;False
95;129496616;61476416;94.17366;16.3479;12;285.2369;False
96;181444880;65104562.5;114.3195;20.39771;12;285.2369;False
97;170709856;51796063;110.9615;23.39844;12;285.262;False
