Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;11102774;1692549.71796875;38.52161;9.627954;11;407.683;False
2;20871888;3311614.86484375;51.77663;16.63849;12;281.7018;False
3;33458352;10055230.021875;63.29683;17.97102;12;280.821;False
4;96323504;13026881.546875;96.31602;17.29909;12;280.1756;False
5;61315868;14976247.6296875;80.62016;16.37396;12;279.9378;False
6;96933352;21935196.625;97.12392;21.90155;12;280.8631;False
7;62209076;16930018.5890625;81.62702;21.13193;12;281.8572;False
8;61975396;17256194.26875;80.74026;14.98557;12;280.8631;False
9;41959704;14934642.04375;69.54972;19.0741;12;283.3515;False
10;67625344;20145479.4859375;84.43063;21.95291;12;280.8729;False
11;86319960;30264189.8476563;93.22862;26.51279;12;282.8729;False
12;87102440;34945278.3890625;93.2329;22.33926;12;283.6424;False
13;91835256;45368132.0359375;94.7869;18.92236;12;282.3959;False
14;67785576;34727245.378125;83.4777;14.11856;12;282.3959;False
15;92231584;41409691.74375;94.91756;18.71405;12;282.3959;False
16;68762384;39101778.946875;84.09502;14.87732;12;282.9162;False
17;88545416;35703217.98125;93.68221;20.8548;12;282.6877;False
18;98971320;45306456.7179687;97.77547;20.67151;12;282.4159;False
19;99199456;37401211.375;98.06406;20.30164;11;279.132;False
20;100635968;46409086.571875;98.06219;18.00629;12;284.9825;False
21;91755024;49554604.309375;94.99247;20.9585;12;281.1389;False
22;100744848;51495839.05;98.23894;18.97839;12;281.1389;False
23;139461120;46231688.3414062;111.0525;17.95166;12;282.5867;False
24;101394352;49790554.778125;98.90097;22.72961;12;285.6671;False
25;98006224;41021163.05;97.27882;21.76715;13;284.0452;False
26;100681144;40654649.515625;98.85455;25.37286;12;281.6137;False
27;89888992;33886012.153125;93.86689;19.78522;13;284.8464;False
28;88790384;40198415.1984375;93.20046;18.05884;13;284.8464;False
29;67861480;31299225.203125;83.85024;15.99097;12;285.3241;False
30;68970176;43017093.275;84.29958;17.03162;13;283.5927;False
31;88745080;36406031.19375;93.1881;18.10278;13;287.5716;False
32;102549728;40652631.775;98.64267;18.78894;13;284.8244;False
33;89848688;29987337.3757812;93.6052;17.88342;13;282.8533;False
34;130669872;36706188.6578125;108.3574;19.66809;13;288.5263;False
35;93274704;44581522.2;95.32128;20.66357;13;283.1052;False
36;100949112;40499290.6375;98.68738;22.2439;12;279.5321;False
37;127058120;40626337.290625;108.0558;28.79175;13;287.6755;False
38;100916064;41140421.884375;98.42111;22.14832;13;288.7018;False
39;242224000;56165421.65625;137.7344;32.70605;14;291.2173;False
40;102998952;32027404.6125;98.88524;19.36597;13;285.6031;False
41;102748672;39603782.2125;98.814;19.53381;13;285.6031;False
42;107066248;39891337.3765625;100.6459;21.73706;13;285.7422;False
43;89559040;38305753.865625;93.7579;20;13;284.7852;False
44;88335112;29870545.05;93.17528;19.29333;13;286.9734;False
45;89861864;32507678.0421875;93.93288;20.4657;13;286.9734;False
46;128670656;32700666.44375;108.406;26.36609;13;285.9981;False
47;131631144;46936523.08125;108.7305;20.1958;13;286.6198;False
48;91851704;35750145.3;94.79872;21.07068;13;287.203;False
49;88241328;27337642.6625;92.87051;17.32629;13;287.3228;False
