Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;4259670784;805008213.2;547;26.01792;13;365.4976;True
2;3985103104;1602609532.6;528.9025;24.07776;13;364.6733;False
3;3461150976;1318541804.4;547;24.16906;12;264.7077;True
4;3967133440;974860855.6;528.49;26.57607;13;366.2325;False
5;3518704896;1368118393.6;496.9746;23.70308;13;365.5951;False
6;3747630336;1773077397.2;533.3636;26.69995;13;326.5973;False
7;3945739264;1596651442;527.5254;27.11171;13;365.9536;False
8;4006616832;1107712067.6;547;23.17441;13;328.8704;True
9;3685928704;1237292819.6;547;21.02625;12;291.6945;True
10;3682649088;1012345846.4;547;21.27609;12;291.6945;True
11;4291208960;2227975408;547;22.30457;13;364.2383;True
12;4291772928;1369725110.8;547;22.27948;13;364.2679;True
13;3970158080;1319727915.6;527.493;23.47488;13;364.7518;False
14;3939052032;1200985583.6;526.0139;24.28494;13;364.7795;False
15;4265259264;1708584712.8;547;24.24805;13;363.9044;True
16;4316051968;2013202917.2;547;20.68262;13;364.4833;True
17;4309359104;2015464881.2;547;21.2486;13;364.6979;True
18;4306717184;2048154040.8;547;21.34332;13;364.5366;True
19;4277953792;2398803795.2;547;22.84235;13;363.4294;True
20;4300691456;2527585168.8;547;21.13068;13;363.3906;True
21;4089852160;2383185817.6;535.3715;25.11407;13;366.4798;False
22;4304200192;2900221068.8;547;21.2674;13;364.0824;True
23;4417616384;2694166457.6;547;20.42151;14;366.6483;True
24;4419780096;1941187348.8;547;20.28625;14;366.6483;True
25;5003213312;2793293923.2;584.9761;26.00531;14;366.6483;False
26;3553899008;1993153236.4;495.2997;25.79596;14;366.6483;False
27;4394645504;1912637772;547;21.30493;14;365.4653;True
28;4789752832;2592397824;580.0673;28.43225;13;364.9268;False
29;4368669184;2218854392.4;547;24.26575;14;366.9308;True
30;4364063232;2035494243.6;547;23.52722;14;365.2947;True
