Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;87371718656;62899008102.4;35.23104;12.88021;14;299.2731;False
2;93097238528;69163307827.2;62.65574;20.92229;12;357.7937;False
3;115539460096;80868623564.8;63.41828;20.48721;13;269.0579;False
4;102437675008;78096368230.4;47.74218;9.611107;12;290.7208;False
5;201762193408;81731680256;166.224;22.42798;13;354.7495;False
6;130664448000;83930193510.4;94.54541;11.3761;13;354.7495;False
7;126324211712;86306822758.4;92.52328;20.33318;13;330.0068;False
8;126811267072;75042482995.2;78.80917;17.40146;12;286.9497;False
9;128508993536;76520331673.6;94.79874;20.40616;13;330.0068;False
10;125422919680;79744093798.4;90.3838;18.41519;13;330.0068;False
11;102880444416;77492257382.4;50.15527;12.70566;12;286.9497;False
12;102364831744;74182160384;72.11263;14.45267;13;364.3335;False
13;118774079488;81045085798.4;82.83169;17.46548;13;330.0068;False
14;113988960256;84617864806.4;64.57959;11.60672;13;300.6558;False
15;128690184192;80894809088;86.88979;20.88345;13;301.2831;False
16;129659592704;82596245094.4;82.81168;14.21588;13;300.6558;False
17;121022078976;80674627379.2;70.08467;12.37323;13;291.7856;False
18;134952665088;88790217318.4;95.08498;25.38953;13;300.6558;False
19;176127819776;90613214822.4;123.2372;15.27722;13;298.8403;False
20;138934566912;93565590937.6;93.75533;17.29547;13;298.4819;False
21;135842013184;94910289305.6;90.69519;17.35211;13;297.8335;False
22;127235309568;93230084710.4;67.72881;10.37384;14;270.2132;False
23;138403627008;99679896371.2;95.36752;19.24762;14;300.8766;False
24;149579350016;88021469388.8;107.3042;22.38141;13;299.3731;False
25;150476783616;99125343027.2;96.16439;17.24036;14;270.2132;False
26;148958429184;97714440192;96.60288;12.46155;13;295.8279;False
27;179363446784;98855815782.4;135.1837;26.20892;14;299.6355;False
28;123777417216;96190371020.8;64.87414;10.61121;14;270.2132;False
29;138335600640;95921254604.8;78.94116;11.28021;14;270.2132;False
30;138220191744;90698459955.2;79.59114;11.8103;14;270.2132;False
31;140300386304;91168906035.2;80.48754;11.47046;14;268.5589;False
32;138342432768;94265397657.6;77.014;10.32458;14;268.5589;False
33;184859328512;111819652300.8;124.3744;17.43201;14;270.2132;False
34;126610661376;91369120153.6;66.79822;10.42029;14;268.5589;False
35;157019389952;99450516480;95.48924;12.17993;14;268.5589;False
36;167388790784;107356222668.8;116.476;23.34326;14;275.4333;False
37;199272677376;103644683878.4;138.4899;19.36682;14;275.4333;False
38;158011883520;102047833292.8;101.903;14.26648;14;278.5496;False
39;137691561984;98383202099.2;80.47047;13.26233;14;268.5589;False
40;191147474944;104890524876.8;127.2218;16.23279;14;268.5589;False
41;181066186752;107548703129.6;123.9102;20.30701;14;269.6933;False
42;137368608768;100827536998.4;82.26585;17.29004;14;263.2311;False
43;161214529536;103887800320;108.8561;22.45544;14;269.2402;False
44;228188078080;107339853824;153.9804;17.27087;14;268.7273;False
45;153967345664;100730323763.2;99.15475;17.26465;14;269.9299;False
46;166539198464;98963820134.4;110.9383;20.31921;14;265.49;False
47;161190559744;100909210419.2;104.1894;17.33105;14;265.7874;False
48;171820580864;101264605184;111.7425;16.28857;14;265.49;False
49;148177600512;94880336281.6;95.52589;21.37866;14;265.49;False
50;129904631808;96621050675.2;71.89153;12.33313;13;267.08;False
51;138847223808;100365213286.4;77.93607;12.35852;12;259.2812;False
52;143676014592;95565529907.2;92.02595;23.50378;13;264.3143;False
53;154890911744;102998077030.4;97.44989;17.42456;12;260.6485;False
54;150280257536;95519225856;97.22905;21.12646;14;265.2369;False
55;204882821120;109403780300.8;139.9779;20.29089;14;263.6653;False
56;140091179008;92197147443.2;83.21371;17.18506;13;257.8497;False
57;132780834816;100449764966.4;81.84125;25.29822;13;263.6949;False
58;136463261696;93137724620.8;78.29886;13.50757;13;263.6949;False
59;138319986688;96465752473.6;78.80485;13.42188;12;259.7144;False
60;150695215104;100265518694.4;94.98605;17.30542;12;265.1989;False
61;124520439808;93524096614.4;68.08997;14.24268;12;265.1989;False
62;154721648640;97294969651.2;92.07772;12.28711;12;262.157;False
63;130002608128;96380952985.6;66.36481;9.266113;12;262.157;False
64;149140275200;110590111744;94.85704;19.27441;12;264.5457;False
65;184363761664;114940332441.6;126.1198;21.92139;13;264.3352;False
66;154842382336;107479353753.6;95.51698;16.36426;11;257.1955;False
67;171867832320;103757595443.2;111.9631;17.40967;12;262.157;False
68;150088400896;93103724544;95.07864;23.44043;10;254.4676;False
69;151853154304;96444639232;92.22289;14.25464;12;262.157;False
