Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;757.218322753906;194.830979722459;291.2378;25.7733;13;335.4132;False
2;975.045837402344;234.91558875367;375.0176;21.58987;14;376.2425;False
3;1299.45349121094;273.096570376307;499.7898;23.75221;14;376.2425;False
4;1050.69482421875;307.520937937498;404.1134;20.02217;14;313.6018;False
5;1051.97680664063;443.093393350393;404.6064;25.76358;13;447.6338;False
6;828.521789550781;238.604138499498;318.6622;24.98878;13;382.3094;False
7;898.149536132813;315.200744479895;345.4421;22.03323;11;354.9072;False
8;986.894653320313;333.189058452845;379.5749;19.23154;14;280.7735;False
9;1053.31030273438;256.21311429441;405.1194;21.01419;13;355.369;False
10;1212.44299316406;331.189270552993;466.3242;24.77908;13;355.369;False
11;1050.11535644531;246.551498876396;403.8905;22.80701;13;355.369;False
12;980.405822753906;357.347065603733;377.0792;18.39529;14;293.714;False
13;1128.72607421875;371.589015972614;434.1254;22.19409;10;385.1423;False
14;1383.00158691406;260.753057741374;531.9237;29.64386;10;385.1423;False
15;909.248413085938;239.752777811885;349.7109;18.35684;10;309.5683;False
16;1056.30065917969;296.914103168249;406.2695;28.79004;10;385.1423;False
17;1121.92004394531;312.796020686254;431.5077;22.45728;11;406.7602;False
18;1053.37292480469;266.823416805267;405.1434;22.94379;13;376.7912;False
19;1209.45153808594;259.644367575645;465.1737;23.62286;13;376.7912;False
20;904.99755859375;347.026994967461;348.076;23.24292;13;376.7912;False
21;1922.19995117188;325.106933261454;547;23.66956;13;376.7912;True
22;1922.19995117188;247.523262786865;547;21.62683;13;376.7912;True
23;1370.97375488281;253.474115370214;527.2976;22.66827;13;376.7912;False
24;1130.16833496094;278.813954808563;434.6801;21.40588;11;295.817;False
25;967.519653320313;201.253840970993;372.123;25.89551;11;300.9213;False
26;901.603332519531;254.344199556112;346.7705;18.22693;11;297.8461;False
27;893.23193359375;275.356606352702;343.5508;17.15894;11;300.9213;False
28;971.884704589844;339.345923902094;373.8018;20.83569;13;283.4654;False
29;1291.171875;246.423457018007;496.6046;24.80219;11;300.9213;False
30;1051.49731445313;498.059277093411;404.4221;19.35522;11;303.1894;False
