Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2415.59521484375;1377.59904042725;929.0751;56.25835;13;362.5149;False
2;2732.61743164063;1470.92778697312;1051.007;62.3888;12;313.4789;False
3;2421.57373046875;1134.45034279972;931.3745;79.38023;10;322.8723;False
4;2818.78125;1428.868678445;1084.147;67.70941;13;268.648;False
5;2780.529296875;1718.87535633668;1069.434;50.33511;13;278.3324;False
6;2788.20703125;1568.71640538871;1072.387;59.62186;14;310.0179;False
7;2447.95629882813;1559.45288436264;941.5217;42.1153;12;317.9287;False
8;2423.41577148438;894.4950078547;932.0829;37.48273;12;317.9287;False
9;2783.75830078125;1861.27019907059;1070.676;66.15845;13;398.732;False
10;2790.81567382813;1415.20689118356;1073.391;67.40723;13;328.6601;False
11;2436.88940429688;1716.13387417896;937.2651;44.31628;13;278.2836;False
12;2807.28930664063;1657.10213975608;1079.727;53.85205;11;296.6887;False
13;2516.22509765625;1486.73632276058;967.7789;91.73401;12;381.6545;False
14;2483.67846679688;1243.97541202097;955.261;97.28638;12;381.6545;False
15;2491.77563476563;1574.15696674287;958.3752;95.052;12;381.6545;False
16;2438.44311523438;1639.37112756521;937.8627;46.71704;12;314.187;False
17;2515.39208984375;1188.35683753937;967.4585;94.5354;12;381.6545;False
18;2444.42407226563;1321.64764319882;940.1631;88.39941;12;381.6545;False
19;2516.9296875;1341.67995791808;968.0499;90.90039;12;381.6545;False
20;2426.27661132813;1338.9992666766;933.1833;85.03052;12;381.6545;False
21;2471.56396484375;1182.21288365126;950.6015;51.95264;13;340.1831;False
22;2443.78442382813;1463.83812104873;939.9171;52.53564;13;340.1831;False
23;2515.86010742188;1336.96886456534;967.6385;95.00244;12;381.6545;False
24;2724.20556640625;1208.72231606692;1047.771;63.80713;11;360.782;False
25;2426.73510742188;1526.51647850871;933.3597;50.18555;14;364.7298;False
26;2497.86596679688;1467.20134841204;960.7177;95.03516;12;381.6545;False
27;2766.22485351563;1384.26611320972;1063.933;57.68848;13;343.5214;False
28;2752.38818359375;1229.35787951937;1058.611;90.71777;14;326.2929;False
29;2482.7236328125;1599.00364170372;954.8937;79.81396;14;326.2929;False
30;2487.45092773438;1337.10082538649;956.7119;80.02881;14;326.2929;False
