Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;54321680;7377526.140939;378.7254;22.58166;10;266.6373;False
2;52619976;4912305.07233933;374.7286;19.9284;10;266.6373;False
3;52700832;7275365.30138995;374.9205;18.6266;13;432.2243;False
4;147305584;15103612.4432502;528.1287;20.86897;13;432.2243;False
5;66310960;11410111.6218748;404.7577;22.81486;12;354.0844;False
6;163667328;13078580.5551141;547;23.75304;12;459.9562;True
7;108983552;18815039.091205;477.6616;25.34631;12;459.9562;False
8;63999372;8483097.05703158;399.9987;27.44817;13;382.4406;False
9;101502528;12702870.6448821;466.472;19.55775;12;383.2834;False
10;81031352;13481421.8823919;432.7307;36.07297;12;277.7185;False
11;119353168;8112293.62465726;492.3546;22.19849;12;365.1113;False
12;163667328;13438472.9362997;547;21.21973;12;365.1113;True
13;15291624;2029007.55213526;248.2092;23.3143;11;297.4508;False
14;31003992;6118747.27585176;314.1516;22.91226;11;408.165;False
15;52119136;4724088.95098932;373.5359;19.39175;13;371.6489;False
16;52673860;7223230.23649247;374.8565;19.34155;14;204.6051;False
17;42631844;9679729.51830382;349.3371;22.05032;13;316.1065;False
18;52737360;7237512.52215695;375.0071;22.42499;13;292.7402;False
19;52451232;5580284.62557998;374.3276;25.14966;13;292.7402;False
20;69318760;12502370.4507858;410.7872;19.82166;10;284.0679;False
21;143650096;17562059.5756461;523.7234;27.97284;13;380.2413;False
22;122695256;15983898.3690315;496.9079;23.76642;10;294.7101;False
23;41048840;4778675.60979928;344.9586;21.06616;11;342.7671;False
24;34143300;3886304.0165513;324.4157;21.41052;10;355.9065;False
25;42510232;4682110.64954045;349.0046;22.18713;11;386.4244;False
26;120948800;19045430.1302749;494.539;23.62976;12;233.9429;False
27;123689816;17812470.532722;498.2469;19.80347;12;233.9429;False
28;163667328;18149183.8185363;547;23.44318;12;233.9429;True
29;146257584;12749708.3604028;526.8732;23.05731;12;233.9429;False
30;53818724;10354397.0007782;377.5529;21.53882;12;336.5548;False
