Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;4.92260434807878E+32;2.46334777607782E+31;530.09;26.02464;12;365.2204;False
2;2.71730196028489E+30;1.36455751364207E+29;343.6989;23.29778;12;365.2204;False
3;2.87444206732732E+30;1.77322563731243E+29;345.3129;20.52018;11;361.2507;False
4;1.88660550829817E+31;1.05362875483775E+30;403.9306;19.03949;12;347.2228;False
5;4.0535507591881E+31;2.19769710297413E+30;430.513;22.95428;14;340.4727;False
6;2.00906328651829E+31;1.02538208669946E+30;406.0531;21.29501;10;289.2326;False
7;4.45702273971473E+31;3.44968280573614E+30;433.9307;27.11909;10;289.2326;False
8;1.76087964090989E+31;9.2154831989716E+29;401.6158;27.68649;9;301.8505;False
9;1.16728673094124E+29;6.10852036680317E+27;264.402;19.45587;9;301.8505;False
10;3.56550124028799E+30;2.16043706757225E+29;351.5686;18.90628;11;297.7614;False
11;7.17543006923352E+32;3.59493148353405E+31;547;33.38412;9;333.9875;True
12;2.0404195823579E+32;1.52339157967725E+31;492.5798;22.50476;9;333.9875;False
13;9.20069726551057E+31;4.65923495004683E+30;460.9478;24.29004;9;333.9875;False
14;2.45708969619946E+32;1.48253763547961E+31;500.2669;32.06625;9;333.9875;False
15;4.13248737412939E+29;3.09949803560639E+28;293.7769;18.9223;9;333.9875;False
16;7.17543006923352E+32;4.2214599057272E+31;547;24.59262;12;419.7583;True
17;2.21631577454612E+32;1.15062368115601E+31;495.9859;24.15674;13;387.9124;False
18;2.92674835853313E+30;1.86059348276023E+29;345.8322;23.6593;12;339.9595;False
19;1.93353806378951E+31;9.93509288522521E+29;404.7586;30.30548;11;310.6425;False
20;3.72560865575466E+29;2.42261272231389E+28;291.2503;17.69397;9;285.6016;False
21;3.93566405038452E+29;2.69365794931997E+28;292.5846;18.88879;10;249.2535;False
22;1.99411878732138E+31;1.50796707289184E+30;405.8005;19.2757;10;249.2535;False
23;1.83729257786802E+31;1.86538975832612E+30;403.04;25.43774;10;319.8078;False
24;2.30573817985577E+32;1.19329712791118E+31;497.6234;19.27435;10;319.8078;False
25;4.83374255189483E+29;2.41748752502733E+28;297.6393;17.79706;10;319.8078;False
26;9.26446761892491E+30;9.6577428689157E+29;380.6873;18.06464;11;303.5506;False
27;7.76543043021117E+30;4.47171408520369E+29;375.1288;17.5531;14;277.6701;False
28;1.06621794456463E+30;5.98929931861309E+28;317.9219;23.08679;13;311.6658;False
29;3.8406787487374E+29;2.14947357128341E+28;291.9896;21.42603;13;317.0976;False
30;3.07378909927849E+30;1.82912329937073E+29;347.2478;25.04309;12;363.2761;False
