Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;17795982;1648644.8962363;261.0802;19.02086;10;338.2895;False
2;25926244;5325910.11399248;295.9692;16.09306;13;330.7954;False
3;102326992;17478938.8084589;467.7316;24.64199;12;316.9062;False
4;33164454;5512728.90563831;321.2854;26.14023;12;316.9062;False
5;123936600;18115311.4696732;498.5781;22.80022;12;370.9345;False
6;66497440;14092867.6327552;405.1367;23.39848;12;316.9062;False
7;100383056;10765964.1724897;464.7508;22.3334;11;303.9602;False
8;151842528;19190991.73272;533.496;22.49384;13;353.2908;False
9;150021760;17572953.7581722;531.355;21.68719;13;353.2908;False
10;125444744;16731530.4464333;500.5923;29.12439;13;384.3005;False
11;65895176;7047951.49370628;403.9099;22.45468;13;384.3005;False
12;99278640;17945938.4707391;463.0401;22.23199;12;342.9889;False
13;163667328;16474064.0352569;547;24.33609;11;368.7115;True
14;80966392;15904227.8202026;432.615;22.43478;13;344.4122;False
15;101003240;10495833.5530517;465.7059;24.82306;11;368.7115;False
16;70479624;20973256.0007681;413.0677;24.86707;13;355.8368;False
17;163667328;14996565.4842685;547;25.18188;12;373.3159;True
18;81941072;6111376.55704928;434.3441;24.98071;11;365.4935;False
19;82429368;12555235.6501627;435.2051;21.74847;12;373.3159;False
20;101167184;13175365.8148059;465.9578;22.40491;14;311.6737;False
21;163667328;21254890.1231865;547;22.0885;12;373.3159;True
22;101115272;11572287.9291382;465.8781;20.74011;10;307.4786;False
23;65957032;10393253.1741216;404.0363;19.89099;10;307.4786;False
24;33325552;6114105.24769873;321.8047;17.65686;9;360.2084;False
25;163667328;19230974.5196683;547;24.4751;12;266.5271;True
26;52744252;7569059.46007514;375.0234;22.62537;12;266.5271;False
27;42014040;6875757.1174664;347.6414;20.54388;9;360.2084;False
28;53501348;9069301.31109281;376.8093;20.10846;14;414.4616;False
29;68837208;10356848.111673;409.8338;24.90051;13;402.7547;False
30;65008788;7154259.66607723;402.0907;20.31689;9;360.2084;False
