Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;214.909698486328;25.7827305026352;429.8194;20.10202;12;277.2768;False
2;161.032089233398;68.062019957602;322.0642;19.59425;12;358.7482;False
3;177.326065063477;57.2322233720683;354.6521;20.63461;13;349.0244;False
4;174.406723022461;44.6498300984502;348.8134;17.5265;12;344.0305;False
5;217.584014892578;59.7895227909088;435.168;20.73601;12;344.0305;False
6;159.577743530273;38.9252874813974;319.1555;19.84427;12;344.0305;False
7;200.931182861328;72.5311080366373;401.8624;26.42757;12;346.5983;False
8;269.820526123047;57.9318458177149;539.6411;25.01758;10;436.3023;False
9;173.476364135742;54.5424488022923;346.9527;18.75879;10;436.3023;False
10;204.269088745117;52.9198807284236;408.5382;24.60434;9;347.3409;False
11;202.169479370117;54.93924870193;404.339;24.70471;12;342.7639;False
12;187.300445556641;64.2950888320804;374.6009;20.91052;12;335.1086;False
13;264.480987548828;57.8611747398973;528.962;23.86197;12;362.3283;False
14;231.394058227539;65.9268352657557;462.7881;21.05634;12;362.3283;False
15;231.535552978516;62.6527737084776;463.0711;24.64725;14;442.7186;False
16;190.522735595703;50.8857022598386;381.0455;22.01776;12;362.3283;False
17;200.7333984375;55.8311765197665;401.4668;24.20724;14;370.3755;False
18;173.449188232422;67.4701764792204;346.8984;23.02032;11;281.6145;False
19;202.832626342773;72.7756106697023;405.6653;21.16412;11;281.6145;False
20;187.89045715332;51.3097110718489;375.7809;22.09589;11;281.6145;False
21;202.233795166016;73.0900661550462;404.4676;24.00378;12;316.896;False
22;223.056640625;46.587747528404;446.1133;23.60675;13;279.052;False
23;234.018112182617;73.1997188594192;468.0362;21.67072;13;325.5965;False
24;186.103775024414;58.9776884427294;372.2076;19.4751;13;325.5965;False
25;175.646682739258;63.5864823276177;351.2934;23.14221;12;239.4315;False
26;773.5;95.7325116723776;547;20.47107;12;219.939;True
27;188.166580200195;45.7161165364087;376.3332;18.24579;12;219.939;False
28;201.813735961914;77.6028793651611;403.6275;21.60382;12;345.1233;False
29;201.70280456543;80.6859607517719;403.4056;24.53455;12;345.1233;False
30;174.331848144531;64.1269385904074;348.6637;25.77008;12;345.1233;False
