Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;254.865692138672;54.3309702895582;318.5821;23.25953;13;307.3476;False
2;255.643020629883;49.0006096814759;319.5538;20.56155;14;287.7802;False
3;278.924499511719;97.530206143856;348.6556;24.73806;12;254.4354;False
4;396.697998046875;99.0449462097138;495.8725;25.21374;14;396.2693;False
5;253.815704345703;72.0657033890486;317.2696;17.36104;12;242.7147;False
6;300.095123291016;77.8484305173159;375.1189;22.2211;14;287.7802;False
7;937.599975585938;162.517771136761;547;22.4986;14;291.8654;True
8;253.83576965332;103.948657000065;317.2947;20.01518;14;272.8772;False
9;937.599975585938;121.200209685788;547;24.47452;12;378.8774;True
10;234.996383666992;77.5273336124606;293.7455;17.46555;14;284.3401;False
11;371.448364257813;100.503132722899;464.3105;22.2634;12;378.8774;False
12;233.779632568359;98.4230159282684;292.2245;21.0704;12;378.8774;False
13;255.904449462891;97.5597853302956;319.8806;17.65063;14;266.1667;False
14;278.199188232422;88.4102174272761;347.749;23.36133;14;266.1667;False
15;374.176879882813;72.3427606808022;467.7211;24.7392;14;344.5025;False
16;257.297698974609;80.7340693552047;321.6221;22.59924;13;327.9353;False
17;346.350769042969;91.3921281039715;432.9385;26.81207;12;380.6771;False
18;370.920715332031;101.303165578563;463.6509;20.87555;14;364.4335;False
19;325.271789550781;121.836029863358;406.5897;27.80829;14;314.7223;False
20;233.176177978516;57.4390731042251;291.4702;16.84882;14;291.1844;False
21;279.910827636719;59.0764829289517;349.8885;19.48181;13;404.1699;False
22;256.620910644531;79.7757562808692;320.7762;18.73328;13;404.1699;False
23;279.050689697266;77.4703004354611;348.8134;18.99066;13;404.1699;False
24;372.978240966797;101.556468740385;466.2228;27.32391;13;404.1699;False
25;300.591094970703;97.8745139131322;375.7389;27.15808;13;315.3082;False
26;258.532287597656;59.1203217601404;323.1654;20.25146;13;315.3082;False
27;235.97607421875;87.1699520334601;294.9701;20.95514;13;315.3082;False
28;323.486633300781;93.4445522678085;404.3583;18.72144;14;363.6863;False
29;371.759094238281;127.933203738928;464.6989;24.61224;13;398.5239;False
30;937.599975585938;148.029525880888;547;19.98334;13;405.367;True
