Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;157556608;37612817.6243598;270.0529;17.58432;10;311.022;False
2;548277184;96807509.969136;409.2325;21.63977;12;364.4552;False
3;4050092544;266047965.421051;547;22.79461;14;413.7329;True
4;4050092544;251808407.444475;547;21.75275;14;413.7329;True
5;522123744;77809531.045484;402.6192;25.39685;14;413.7329;False
6;961145216;107737821.132937;493.4385;21.8278;14;413.7329;False
7;647522368;68285020.0293913;432.5685;24.70255;14;413.7329;False
8;548154432;99176480.7238411;409.2019;33.5186;14;472.9795;False
9;1001337984;99726743.1686086;500.2229;23.39447;14;330.2392;False
10;799145472;110767331.093735;463.9936;29.42896;14;330.2392;False
11;348431552;60063770.2433217;351.8378;21.96866;14;472.9795;False
12;338919232;77148393.0845557;348.6064;16.65903;14;472.9795;False
13;350085472;58570329.5830405;352.3936;25.87747;14;472.9795;False
14;334173632;64202992.5200844;346.9717;20.45676;14;472.9795;False
15;333218560;57019240.0373864;346.6408;23.35254;12;332.9769;False
16;204244432;35750961.270229;294.4558;25.70331;12;332.9769;False
17;412314848;68757449.9672723;372.1457;20.61896;14;472.9795;False
18;525578944;60337571.3142782;403.5054;23.03522;12;433.3203;False
19;414568256;70179699.600653;372.8224;27.59753;12;433.3203;False
20;427140960;88455294.1894178;376.5538;19.94916;13;282.0645;False
21;214845984;35477657.7427149;299.4648;20.80939;12;365.3395;False
22;1158707840;81549703.1528186;525.1636;25.37994;11;404.0103;False
23;329243296;55031687.0666693;345.2569;19.47131;12;365.3395;False
24;258062496;39418962.14822;318.3305;32.9422;11;341.8452;False
25;340201504;63239478.683433;349.0455;28.00916;13;338.1275;False
26;254046192;56029193.1707664;316.6705;21.09698;12;379.073;False
27;420895328;50916146.4764887;374.7095;19.43512;13;347.8674;False
28;407432512;55778243.0538151;370.671;23.7475;13;347.8674;False
29;266161392;39053332.3563671;321.6264;24.28058;13;338.1275;False
30;193327840;26842489.4155238;289.1133;20.23932;14;395.502;False
