Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1066.46875;197.96252108186;410.1803;18.61362;12;297.3219;False
2;1128.19616699219;314.615970851481;433.9216;22.75077;13;314.5152;False
3;829.173645019531;229.724661812745;318.9129;27.67259;10;268.4864;False
4;833.740783691406;300.396897554398;320.6695;16.07978;13;352.986;False
5;897.574645996094;231.960047895461;345.221;18.75866;8;266.6146;False
6;624.161254882813;108.157145271171;240.062;14.05211;8;266.6146;False
7;893.735961914063;276.135162139684;343.7446;22.5988;14;350.416;False
8;1280.34265136719;272.100405199826;492.4395;25.96016;14;350.416;False
9;1204.72106933594;347.797815662622;463.3542;20.7318;14;350.416;False
10;1289.57507324219;337.434468864091;495.9904;24.1687;14;350.416;False
11;971.325744628906;346.122991400957;373.5868;23.31931;13;301.7329;False
12;1207.61767578125;299.4507822752;464.4684;23.49481;13;287.332;False
13;985.626220703125;229.864436435699;379.087;20.06693;11;333.9243;False
14;1128.41320800781;380.940326863527;434.0051;28.06473;11;333.9243;False
15;900.807373046875;224.396009314433;346.4644;21.29742;14;359.0143;False
16;1293.46899414063;300.250366471708;497.4881;27.40118;12;315.8832;False
17;1202.31945800781;253.678024581121;462.4305;21.62842;12;338.4796;False
18;1922.19995117188;341.301994013786;547;26.5683;12;338.4796;True
19;1207.24841308594;200.08127116859;464.3263;20.46094;13;299.1789;False
20;1205.70751953125;380.184247303009;463.7336;30.97931;12;377.2724;False
21;1300.44421386719;311.909990263579;500.1709;29.23132;12;377.2724;False
22;894.751281738281;248.158892063238;344.1351;25.39258;12;377.2724;False
23;1206.76989746094;275.271880946681;464.1423;27.28918;11;272.2649;False
24;1379.2685546875;376.955667966604;530.4879;20.13934;13;282.27;False
25;1045.61096191406;346.790539264679;402.1581;27.4809;13;366.3821;False
26;1367.63037109375;279.783706358075;526.0117;22.23877;12;393.4568;False
27;986.186401367188;321.795970149711;379.3025;18.83081;13;318.871;False
28;980.550964355469;259.371048241481;377.135;21.37451;13;318.871;False
29;903.428649902344;282.392691453733;347.4726;18.67322;13;318.871;False
30;896.91748046875;304.977879632264;344.9683;17.93292;12;344.7307;False
