Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;832.51806640625;153.011884050071;320.1992;18.14445;13;377.9053;False
2;1922.19995117188;361.444258185104;547;22.51877;13;377.9053;True
3;1210.5537109375;325.130305690784;465.5976;26.55657;13;343.5291;False
4;1128.92810058594;296.075955110788;434.2031;25.34961;13;377.9053;False
5;1372.42004394531;360.939524058998;527.8539;28.16013;13;284.3899;False
6;986.523315429688;252.513449392468;379.432;22.14279;13;284.3899;False
7;1140.60498046875;341.777461200953;438.6942;20.90417;14;427.7182;False
8;1053.58837890625;252.227046400309;405.2263;20.67128;13;284.3899;False
9;1922.19995117188;404.208353843726;547;20.58827;13;284.3899;True
10;1922.19995117188;419.020543071628;547;21.76297;12;314.632;True
11;917.548400878906;315.472292637825;352.9032;16.47922;14;427.7182;False
12;1197.85021972656;339.201767990738;460.7116;23.23489;12;314.632;False
13;1201.28430175781;330.723492846489;462.0324;22.46426;12;314.632;False
14;1922.19995117188;595.386760866642;547;21.31784;12;314.632;True
15;1205.17700195313;287.383649994433;463.5296;19.27039;12;314.632;False
16;1218.64624023438;369.062485481054;468.7101;20.58099;12;314.632;False
17;1288.06042480469;428.801481076749;495.4078;21.34445;12;314.632;False
18;1922.19995117188;310.967370700464;547;23.42383;12;314.632;True
19;1922.19995117188;465.797229844332;547;19.83466;12;314.632;True
20;1121.11364746094;353.530160792172;431.1976;19.32001;13;380.4093;False
21;1368.69274902344;436.533729360253;526.4203;23.80542;13;380.4093;False
22;1370.60168457031;382.452314183116;527.1545;24.35907;13;380.4093;False
23;1208.10461425781;414.371096742898;464.6556;21.54065;13;380.4093;False
24;1127.47229003906;346.892305067182;433.6432;21.45129;12;314.632;False
25;1130.677734375;358.784865403175;434.8761;21.20044;13;380.4093;False
26;1922.19995117188;320.610598471761;547;21.18347;12;314.632;True
27;1205.09924316406;450.83421497345;463.4997;24.55182;12;314.632;False
28;1922.19995117188;581.004768620431;547;20.05084;12;314.632;True
29;1141.56579589844;424.31159170717;439.0638;18.69763;9;322.5374;False
30;1286.64782714844;294.14179880023;494.8646;20.59515;12;421.8798;False
