Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;321.216522216797;89.7939133822918;321.2165;17.31533;13;339.6108;False
2;348.957733154297;69.6304822266102;348.9577;21.58557;12;343.8151;False
3;318.326385498047;104.510073190927;318.3264;20.94883;12;408.3499;False
4;374.119415283203;126.665503913164;374.1194;19.67013;12;333.7869;False
5;526.568786621094;103.443137508631;526.5688;24.85094;12;333.7869;False
6;524.77978515625;141.032681673765;524.7798;23.45311;9;398.9103;False
7;402.801574707031;119.710963198543;402.8016;27.87573;13;306.9845;False
8;436.577850341797;112.387014758587;436.5779;26.32494;12;431.514;False
9;346.948852539063;121.661217090487;346.9489;22.42224;12;262.8449;False
10;461.96240234375;125.823786562681;461.9624;24.39517;12;355.2348;False
11;475.032806396484;127.004917740822;475.0328;23.664;12;366.9806;False
12;463.159027099609;136.257340085506;463.159;20.74127;12;355.2348;False
13;465.445770263672;157.547733518481;465.4458;19.88885;12;355.2348;False
14;547;186.853404267132;547;22.06488;13;402.6768;True
15;432.527099609375;168.33798699975;432.5271;21.78955;13;402.6768;False
16;405.958648681641;130.155254209042;405.9586;18.66418;13;402.6768;False
17;547;119.600558231771;547;24.93866;14;341.5205;True
18;407.704467773438;106.364310818911;407.7045;19.72089;14;369.0715;False
19;317.734313964844;130.786490222812;317.7343;17.62646;9;295.7882;False
20;497.247253417969;89.5931974440813;497.2473;26.29919;14;341.5205;False
21;292.017272949219;69.0009911954403;292.0173;17.29694;14;307.9573;False
22;435.627960205078;66.4251596234739;435.628;23.62744;11;398.4947;False
23;434.697570800781;107.017845918238;434.6976;22.56024;11;385.0127;False
24;402.912170410156;77.0065410584211;402.9122;20.20532;13;412.6331;False
25;410.343231201172;130.079123924673;410.3432;23.40271;13;412.6331;False
26;462.721710205078;173.442606884241;462.7217;21.99365;13;412.6331;False
27;429.253814697266;126.671237081289;429.2538;27.10266;13;412.6331;False
28;435.933471679688;105.931172662973;435.9335;23.32874;13;399.4836;False
29;440.802429199219;158.805156183243;440.8024;22.45374;13;372.8408;False
30;402.653839111328;133.861484102905;402.6538;21.80859;13;291.6049;False
