Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;267.255645751953;75.0864088431001;267.2556;19.73749;12;345.2799;False
2;405.768829345703;96.2696762453765;405.7688;19.04363;11;359.8919;False
3;379.433959960938;94.0789160013199;379.434;21.79741;11;359.8919;False
4;265.600921630859;116.704732692242;265.6009;16.90064;11;359.8919;False
5;350.267730712891;102.34854092598;350.2677;25.29495;12;292.5956;False
6;293.481597900391;115.182789230347;293.4816;20.26457;13;336.0782;False
7;404.293151855469;133.642747104168;404.2932;37.61702;14;322.1157;False
8;399.6396484375;107.254230863601;399.6396;24.62578;14;377.1932;False
9;495.177368164063;99.9175949215889;495.1774;26.56552;14;377.1932;False
10;405.455291748047;115.449141666293;405.4553;18.57544;13;374.8636;False
11;404.718719482422;110.801402287185;404.7187;22.08337;14;268.4185;False
12;347.756866455078;113.189553534985;347.7569;20.01398;14;268.4185;False
13;293.175079345703;79.2400378521532;293.1751;22.61826;13;374.8636;False
14;290.710876464844;93.7173844859004;290.7109;19.1366;14;351.1253;False
15;372.675109863281;142.925008809566;372.6751;19.45865;13;265.7709;False
16;293.411468505859;110.220921556652;293.4115;17.6366;14;292.7765;False
17;547;109.596602368355;547;24.52106;14;292.7765;True
18;347.129577636719;130.617015077546;347.1296;16.31091;14;327.436;False
19;434.499755859375;121.757457962632;434.4998;21.10461;14;327.436;False
20;547;75.7354945957661;547;23.70251;14;327.436;True
21;376.159362792969;140.76670011729;376.1594;21.19751;13;316.9628;False
22;346.079315185547;95.323210324347;346.0793;15.25055;14;327.436;False
23;494.608215332031;84.6689828085713;494.6082;21.42334;14;327.436;False
24;373.765106201172;110.782283252478;373.7651;18.05554;14;327.436;False
25;433.807250976563;112.850176659226;433.8073;27.63531;14;327.436;False
26;465.130676269531;138.579875385761;465.1307;22.08099;14;327.436;False
27;492.830902099609;89.6146706491709;492.8309;25.28357;14;327.436;False
28;402.90234375;142.09351708889;402.9023;20.75769;14;327.436;False
29;375.184722900391;125.625927132368;375.1847;18.5224;14;327.436;False
30;375.690551757813;103.745556291938;375.6906;22.43109;12;347.9556;False
