Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;238.034881591797;30.274169274047;238.0349;34.42675;11;427.0354;False
2;322.932098388672;62.2352273717523;322.9321;22.87303;13;336.0478;False
3;290.523254394531;68.8669489748776;290.5233;17.27144;11;360.1915;False
4;192.247634887695;31.2256940841675;192.2476;12.63229;13;309.051;False
5;351.208770751953;93.1715086698532;351.2088;23.74538;14;391.3189;False
6;292.818878173828;65.2532068684697;292.8189;18.80043;13;339.3394;False
7;468.2822265625;81.6147211909294;468.2822;27.74724;13;316.3842;False
8;241.930511474609;58.9451625421643;241.9305;24.23862;13;326.0246;False
9;373.930694580078;103.227420732379;373.9307;21.47504;10;285.0928;False
10;296.205627441406;89.9106050334871;296.2056;25.72797;14;326.294;False
11;400.993316650391;59.8529360353947;400.9933;19.52029;13;341.236;False
12;294.795104980469;75.5338573008776;294.7951;16.24106;11;384.8;False
13;346.059143066406;103.235879564844;346.0591;24.83765;12;339.9676;False
14;282.542144775391;80.3909591078758;282.5421;18.86966;12;297.9839;False
15;216.257080078125;62.9986581474543;216.2571;17.91266;14;394.1631;False
16;469.165496826172;98.5780992716551;469.1655;24.85229;13;337.8163;False
17;241.502090454102;61.7383488297462;241.5021;27.11407;10;303.5781;False
18;464.017791748047;114.782585717738;464.0178;20.97052;14;347.3601;False
19;547;85.7477652445436;547;22.92029;13;369.0506;True
20;406.946716308594;77.4404516071081;406.9467;22.78204;12;339.6615;False
21;495.579681396484;91.475926554203;495.5797;27.17542;11;379.2878;False
22;320.691192626953;95.4358564585447;320.6912;18.8573;11;368.952;False
23;434.208038330078;78.7642796870321;434.208;19.79401;13;329.2088;False
24;291.240875244141;78.924069006741;291.2409;21.20905;13;313.5482;False
25;348.281158447266;77.5962848603725;348.2812;20.08698;14;410.5372;False
26;372.917083740234;91.0852712571621;372.9171;17.96936;12;362.9366;False
27;346.145751953125;58.2858411788009;346.1458;17.81787;13;305.299;False
28;401.164611816406;60.2841327406466;401.1646;24.06195;13;383.6907;False
29;322.632598876953;99.2352591961622;322.6326;18.70184;9;319.1694;False
30;262.442352294922;38.7540818978101;262.4424;21.25885;12;315.1267;False
