Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;-55590.79296875;-89202.1646484375;437.934;22.29799;13;411.086;False
2;-46925.484375;-81972.94765625;524.1163;26.05696;13;365.47;False
3;-61973.0859375;-84201.7220703125;374.3764;18.54038;13;411.086;False
4;-61159.796875;-85955.2859375;382.8571;26.02501;13;411.086;False
5;-46611.87109375;-78951.746484375;527.0278;23.30719;12;350.2444;False
6;-46361.46875;-82920.483984375;529.7988;27.94441;13;411.086;False
7;155411.171875;-68289.018359375;547;22.50645;12;350.2444;True
8;-53106.81640625;-80957.3107421875;462.7857;26.4032;13;411.086;False
9;-55879.5234375;-85703.662109375;434.8284;19.76849;12;350.2444;False
10;-52844.90625;-81230.4943359375;465.3517;25.51993;13;411.086;False
11;155406.765625;-68051.635546875;547;22.89902;13;338.2745;True
12;155438.71875;-54892.164453125;547;20.49835;13;338.2745;True
13;-55807.06640625;-78703.119921875;436.0157;28.10217;13;324.4318;False
14;-46531.515625;-76384.1947265625;528.0907;27.42053;12;342.8551;False
15;-55637.51171875;-77204.3416015625;437.3485;20.8905;12;350.2444;False
16;-55838.40625;-76276.7603515625;435.0221;18.24268;13;307.0986;False
17;-46300.7734375;-75025.6751953125;530.0092;22.30615;11;313.6439;False
18;155434.390625;-57126.04765625;547;20.7738;13;307.0986;True
19;155444.53125;-65391.866015625;547;20.14587;13;307.0986;True
20;-49485.46484375;-77517.893359375;498.7256;26.3736;13;307.0986;False
21;-62114.3125;-77978.8580078125;373.3669;24.86377;13;338.2745;False
22;-53028.6171875;-76526.8029296875;463.5666;26.55292;14;343.8487;False
23;155433.046875;-54671.2701171875;547;20.86206;13;338.2745;True
24;155417.390625;-67536.2578125;547;21.9928;14;343.8487;True
25;155427.671875;-69290.1751953125;547;21.22742;14;343.8487;True
26;155427.078125;-45099.97890625;547;21.26874;12;350.2444;True
27;-46421.390625;-75870.3611328125;529.1202;26.08148;12;375.055;False
28;155404.25;-53831.140234375;547;23.13495;13;338.2745;True
29;155399.90625;-69173.7515625;547;23.5672;13;338.2745;True
30;-50112.671875;-75686.7888671875;492.2592;22.62598;12;375.055;False
